Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,6.20,6.28,6.18,6.22,13328100,6.22
2016-10-25,6.26,6.27,6.22,6.23,10132000,6.23
2016-10-24,6.32,6.34,6.26,6.26,8965200,6.26
2016-10-21,6.18,6.28,6.17,6.26,27601300,6.26
2016-10-20,6.17,6.25,6.16,6.23,6904700,6.23
2016-10-19,6.15,6.20,6.12,6.20,11059300,6.20
2016-10-18,6.14,6.19,6.11,6.12,12547400,6.12
2016-10-17,6.06,6.15,6.05,6.08,9229200,6.08
2016-10-14,6.04,6.11,6.03,6.09,14556900,6.09
2016-10-13,5.96,6.05,5.91,6.02,15802800,6.02
2016-10-12,6.04,6.08,5.96,5.99,11143800,5.99
2016-10-11,6.08,6.11,6.00,6.04,16236900,6.04
2016-10-10,6.10,6.13,6.08,6.10,4667800,6.10
2016-10-07,6.13,6.13,6.01,6.06,14275300,6.06
2016-10-06,6.02,6.10,6.00,6.08,6245400,6.08
2016-10-05,6.06,6.10,6.02,6.07,5231400,6.07
2016-10-04,6.08,6.12,5.96,5.96,12849400,5.96
2016-10-03,6.09,6.14,6.07,6.13,10128100,6.13
2016-09-30,6.10,6.15,6.05,6.09,8651000,6.09
2016-09-29,6.12,6.16,5.99,6.03,11328400,6.03
2016-09-28,6.09,6.17,6.05,6.15,5670900,6.15
2016-09-27,6.05,6.09,5.99,6.09,8203200,6.09
