Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,119.900002,120.25,109.379997,111.529999,2881600,111.529999
2016-10-25,125.620003,126.489998,121.610001,121.970001,386700,121.970001
2016-10-24,125.879997,127.50,125.309998,125.610001,261600,125.610001
2016-10-21,124.910004,126.059998,123.730003,124.849998,278700,124.849998
2016-10-20,126.50,127.580002,123.349998,125.269997,630400,125.269997
2016-10-19,129.50,129.669998,127.120003,127.870003,220200,127.870003
2016-10-18,128.970001,131.389999,127.989998,129.070007,194200,129.070007
2016-10-17,127.00,129.369995,126.389999,127.949997,333900,127.949997
2016-10-14,128.009995,128.50,126.610001,127.059998,199000,127.059998
2016-10-13,126.75,128.50,126.050003,127.709999,177000,127.709999
2016-10-12,127.879997,128.279999,126.93,127.339996,207000,127.339996
2016-10-11,131.729996,131.729996,126.529999,127.580002,307800,127.580002
2016-10-10,128.899994,132.949997,128.699997,131.740005,269200,131.740005
2016-10-07,128.580002,129.539993,126.529999,128.470001,352200,128.470001
2016-10-06,127.50,128.789993,126.019997,128.50,394400,128.50
2016-10-05,127.489998,128.50,126.699997,127.449997,406600,127.449997
2016-10-04,128.479996,129.100006,126.360001,127.370003,335900,127.370003
2016-10-03,127.940002,128.699997,126.18,127.800003,364900,127.800003
2016-09-30,128.630005,129.839996,127.809998,128.580002,367800,128.580002
2016-09-29,130.270004,131.160004,126.18,128.419998,483100,128.419998
2016-09-28,129.119995,130.220001,127.739998,129.889999,312400,129.889999
2016-09-27,127.199997,131.110001,126.080002,129.190002,613100,129.190002
