Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,18.24,18.24,17.610001,17.790001,298500,17.790001
2016-10-25,18.50,18.504999,18.190001,18.23,264000,18.23
2016-10-24,18.719999,18.83,18.34,18.440001,280600,18.440001
2016-10-21,18.440001,18.67,18.00,18.59,310600,18.59
2016-10-20,18.66,18.77,18.540001,18.610001,273400,18.610001
2016-10-19,18.50,18.889999,18.50,18.66,246900,18.66
2016-10-18,18.26,18.60,18.09,18.549999,256300,18.549999
2016-10-17,18.08,18.17,18.00,18.07,156500,18.07
2016-10-14,18.08,18.24,17.959999,18.07,294700,18.07
2016-10-13,17.620001,18.10,17.620001,17.940001,218200,17.940001
2016-10-12,18.26,18.26,17.67,17.790001,458800,17.790001
2016-10-11,18.51,18.51,18.23,18.32,223800,18.32
2016-10-10,18.59,18.790001,18.450001,18.51,201500,18.51
2016-10-07,18.780001,18.995001,18.49,18.49,269400,18.49
2016-10-06,19.040001,19.059999,18.725,18.75,256200,18.75
2016-10-05,18.74,19.129999,18.73,19.00,560000,19.00
2016-10-04,19.08,19.09,18.67,18.77,700000,18.77
2016-10-03,19.02,19.17,18.855,19.01,411000,19.01
2016-09-30,19.049999,19.26,18.780001,19.01,996000,19.01
2016-09-29,19.280001,19.40,18.93,19.01,1017700,19.01
2016-09-28,19.07,19.299999,18.91,19.299999,403100,19.299999
2016-09-27,18.91,19.059999,18.60,19.01,661200,19.01
