Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,32.470001,32.508999,31.120001,31.549999,728400,31.549999
2016-10-25,33.240002,34.279999,32.330002,32.549999,523800,32.549999
2016-10-24,35.709999,35.832001,32.84,33.529999,812800,33.529999
2016-10-21,35.849998,36.360001,34.710999,35.380001,514700,35.380001
2016-10-20,37.200001,37.849998,35.59,35.619999,621400,35.619999
2016-10-19,37.82,38.540001,36.16,37.700001,550000,37.700001
2016-10-18,37.549999,37.91,37.009998,37.900002,299700,37.900002
2016-10-17,39.009998,39.029999,36.518002,37.200001,330000,37.200001
2016-10-14,39.50,39.945,38.619999,38.950001,271300,38.950001
2016-10-13,38.34,39.139,38.09,38.889999,227100,38.889999
2016-10-12,39.860001,40.810001,38.814999,38.91,209900,38.91
2016-10-11,40.98,41.330002,39.695,40.060001,183800,40.060001
2016-10-10,39.970001,41.240002,39.970001,40.970001,241600,40.970001
2016-10-07,39.599998,39.990002,38.700001,39.650002,248700,39.650002
2016-10-06,40.959999,41.43,39.669998,39.73,256400,39.73
2016-10-05,40.740002,42.50,40.740002,41.029999,324000,41.029999
2016-10-04,41.290001,41.740002,40.23,40.709999,218100,40.709999
2016-10-03,42.709999,42.709999,41.18,41.279999,295600,41.279999
2016-09-30,41.27,43.099998,41.080002,43.049999,318400,43.049999
2016-09-29,41.790001,42.110001,40.59,41.369999,216100,41.369999
2016-09-28,41.889999,42.23,41.02,42.150002,253100,42.150002
2016-09-27,40.919998,41.939999,40.771,41.849998,251300,41.849998
