Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,49.439999,49.860001,47.799999,48.400002,2054900,48.400002
2016-10-25,48.669998,49.84,48.27,49.59,1684000,49.59
2016-10-24,49.139999,49.32,47.669998,48.290001,1445900,48.290001
2016-10-21,48.849998,49.200001,48.459999,49.049999,870800,49.049999
2016-10-20,49.169998,49.439999,48.169998,49.169998,1524000,49.169998
2016-10-19,48.740002,49.700001,48.50,49.490002,2747100,49.490002
2016-10-18,46.82,48.040001,46.610001,48.009998,2945800,48.009998
2016-10-17,45.75,46.560001,45.73,46.169998,1366000,46.169998
2016-10-14,45.68,46.860001,45.50,45.66,1479500,45.66
2016-10-13,46.119999,47.470001,45.700001,46.310001,1984700,46.310001
2016-10-12,44.84,46.380001,44.740002,46.09,2522000,46.09
2016-10-11,44.990002,45.540001,43.93,44.720001,2679200,44.720001
2016-10-10,45.48,45.66,44.619999,44.939999,1695400,44.939999
2016-10-07,46.77,47.25,44.599998,44.950001,2196300,44.950001
2016-10-06,45.650002,46.529999,45.23,45.630001,3045800,45.630001
2016-10-05,48.330002,48.380001,45.759998,46.759998,2571400,46.759998
2016-10-04,50.610001,51.060001,47.41,47.459999,3536200,47.459999
2016-10-03,53.91,54.41,52.040001,52.77,1709600,52.77
2016-09-30,55.759998,56.080002,54.080002,54.18,1886200,54.18
2016-09-29,54.59,55.610001,53.880001,55.150002,1235000,55.150002
2016-09-28,54.110001,55.34,53.200001,55.00,1489400,55.00
2016-09-27,53.759998,54.439999,53.310001,54.049999,1434200,54.049999
