Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,8.82,8.88,8.37,8.39,1690500,8.39
2016-10-25,8.66,8.84,8.54,8.81,1836700,8.81
2016-10-24,8.74,8.78,8.36,8.60,3505100,8.60
2016-10-21,8.55,8.73,8.51,8.70,1937400,8.70
2016-10-20,8.40,8.63,8.21,8.62,2359500,8.62
2016-10-19,8.37,8.45,8.24,8.40,2313300,8.40
2016-10-18,7.87,8.24,7.77,8.22,2332800,8.22
2016-10-17,7.50,7.80,7.45,7.70,1984200,7.70
2016-10-14,7.57,7.81,7.43,7.47,1848300,7.47
2016-10-13,7.52,8.07,7.50,7.70,2336200,7.70
2016-10-12,7.21,7.51,7.14,7.46,1566800,7.46
2016-10-11,7.34,7.52,7.18,7.19,1295500,7.18
2016-10-10,7.43,7.48,7.23,7.42,1043600,7.40968
2016-10-07,7.39,7.59,7.05,7.35,2413000,7.339777
2016-10-06,6.99,7.47,6.89,7.15,2756400,7.140056
2016-10-05,7.45,7.45,7.00,7.28,1804900,7.269875
2016-10-04,7.85,7.85,7.28,7.30,2650500,7.289847
2016-10-03,8.19,8.30,7.90,8.20,2006000,8.188595
2016-09-30,8.50,8.56,8.15,8.20,1685000,8.188595
2016-09-29,8.12,8.37,8.03,8.30,1177300,8.288456
2016-09-28,7.93,8.31,7.70,8.21,1630900,8.198581
2016-09-27,8.12,8.27,7.83,7.92,1641400,7.908985
