Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,40.84,40.950001,40.099998,40.299999,100100,40.299999
2016-10-25,40.639999,41.209999,40.529999,41.049999,135400,41.049999
2016-10-24,41.669998,41.849998,39.950001,40.240002,149200,40.240002
2016-10-21,39.889999,40.040001,39.57,39.990002,138200,39.990002
2016-10-20,40.790001,40.790001,39.549999,39.970001,136300,39.970001
2016-10-19,40.75,40.91,40.139999,40.619999,121500,40.619999
2016-10-18,40.16,40.700001,39.830002,40.369999,135700,40.369999
2016-10-17,39.509998,39.740002,39.299999,39.57,56300,39.57
2016-10-14,39.599998,40.119999,39.240002,39.619999,157300,39.619999
2016-10-13,39.889999,40.029999,39.41,39.849998,374000,39.849998
2016-10-12,39.860001,40.27,39.439999,40.029999,123500,40.029999
2016-10-11,40.189999,40.32,39.599998,39.669998,108000,39.669998
2016-10-10,40.48,40.919998,40.349998,40.439999,138600,40.439999
2016-10-07,40.220001,40.48,38.060001,39.799999,276200,39.799999
2016-10-06,39.529999,39.630001,38.119999,39.060001,409200,39.060001
2016-10-05,41.700001,41.869999,40.200001,41.150002,242200,41.150002
2016-10-04,44.82,44.970001,40.98,41.560001,468300,41.560001
2016-10-03,47.52,47.52,45.75,46.34,258100,46.34
2016-09-30,50.580002,50.59,47.75,48.110001,271100,48.110001
2016-09-29,47.790001,48.310001,47.32,47.700001,168200,47.700001
2016-09-28,47.50,48.290001,46.810001,48.110001,183900,48.110001
2016-09-27,48.380001,48.540001,47.130001,47.970001,177800,47.970001
