Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,33.16,33.349998,32.700001,33.02,588300,33.02
2016-10-25,33.580002,33.799999,33.209999,33.459999,360000,33.459999
2016-10-24,33.580002,34.09,33.509998,33.669998,458000,33.669998
2016-10-21,33.610001,33.669998,33.220001,33.349998,472800,33.349998
2016-10-20,33.860001,34.34,33.610001,33.740002,998400,33.740002
2016-10-19,34.139999,34.349998,33.700001,34.119999,557700,34.119999
2016-10-18,34.200001,34.77,33.91,34.130001,848500,34.130001
2016-10-17,33.790001,34.02,33.50,33.75,515200,33.75
2016-10-14,34.220001,34.529999,33.830002,33.84,621500,33.84
2016-10-13,32.900002,34.389999,32.77,34.18,1227700,34.18
2016-10-12,32.48,33.259998,32.419998,33.18,823600,33.18
2016-10-11,32.830002,32.830002,32.00,32.540001,534700,32.540001
2016-10-10,32.119999,32.84,32.07,32.720001,664100,32.720001
2016-10-07,32.200001,32.349998,31.709999,31.91,1056700,31.91
2016-10-06,31.389999,31.93,31.10,31.91,662400,31.91
2016-10-05,30.799999,31.66,30.75,31.43,976100,31.43
2016-10-04,31.299999,31.50,30.370001,30.610001,1122100,30.610001
2016-10-03,31.85,31.92,31.030001,31.219999,983400,31.219999
2016-09-30,31.700001,32.02,30.959999,31.870001,1497800,31.870001
2016-09-29,32.099998,32.25,31.33,31.530001,894700,31.530001
2016-09-28,32.349998,32.790001,32.07,32.25,960800,32.25
2016-09-27,32.619999,32.860001,31.84,32.48,966200,32.48
