Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,5.60,5.60,5.31,5.50,16163900,5.50
2016-10-25,5.48,5.75,5.19,5.27,26577700,5.27
2016-10-24,5.25,5.34,5.16,5.19,15770000,5.19
2016-10-21,4.99,5.28,4.93,5.16,14510600,5.16
2016-10-20,4.78,5.16,4.71,5.02,13926700,5.02
2016-10-19,4.64,4.86,4.57,4.83,9639600,4.83
2016-10-18,4.70,4.72,4.47,4.63,11899200,4.63
2016-10-17,4.51,4.73,4.49,4.64,5950600,4.64
2016-10-14,4.58,4.66,4.47,4.51,6051400,4.51
2016-10-13,4.59,4.62,4.48,4.54,6859600,4.54
2016-10-12,4.75,4.82,4.68,4.77,6043700,4.77
2016-10-11,4.79,4.83,4.69,4.77,6710700,4.77
2016-10-10,4.74,4.92,4.73,4.86,7917300,4.86
2016-10-07,4.69,4.75,4.42,4.68,19163000,4.68
2016-10-06,4.60,4.72,4.60,4.61,6775600,4.61
2016-10-05,4.72,4.75,4.57,4.64,7805000,4.64
2016-10-04,4.89,4.93,4.59,4.60,14092200,4.60
2016-10-03,4.91,4.96,4.78,4.95,12086400,4.95
2016-09-30,5.02,5.02,4.77,4.83,10285800,4.83
2016-09-29,5.05,5.20,4.86,4.94,13702600,4.94
2016-09-28,4.96,5.11,4.85,5.10,11717800,5.10
2016-09-27,4.96,5.04,4.79,4.85,10790800,4.85
