Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,15.05,15.35,14.50,14.55,351400,14.55
2016-10-25,15.10,15.45,14.80,15.00,449400,15.00
2016-10-24,15.00,15.05,14.35,14.65,322800,14.65
2016-10-21,14.20,15.00,14.05,14.95,298600,14.95
2016-10-20,14.15,14.35,14.10,14.20,101300,14.20
2016-10-19,14.15,14.40,14.00,14.15,128700,14.15
2016-10-18,14.35,14.35,13.95,13.95,101200,13.95
2016-10-17,14.30,14.43,14.00,14.20,88500,14.20
2016-10-14,14.51,14.58,14.03,14.24,187200,14.24
2016-10-13,14.54,14.86,14.19,14.54,161700,14.54
2016-10-12,14.55,15.27,14.34,14.60,251800,14.60
2016-10-11,14.76,14.90,14.25,14.54,236900,14.54
2016-10-10,14.61,14.93,14.52,14.83,86400,14.83
2016-10-07,14.65,14.65,14.00,14.51,144600,14.51
2016-10-06,14.76,14.94,14.35,14.59,140600,14.59
2016-10-05,14.51,14.80,14.29,14.72,129900,14.72
2016-10-04,14.47,14.55,14.26,14.38,139100,14.38
2016-10-03,14.88,14.88,14.16,14.49,287000,14.49
2016-09-30,14.24,14.90,14.01,14.77,168900,14.77
2016-09-29,14.27,14.65,14.11,14.24,87400,14.24
2016-09-28,14.12,14.46,13.72,14.26,233300,14.26
2016-09-27,14.57,14.57,14.08,14.10,149400,14.10
