Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,0.76,0.78,0.73,0.74,162400,0.74
2016-10-25,0.76,0.78,0.75,0.76,190800,0.76
2016-10-24,0.76,0.78,0.75,0.75,123400,0.75
2016-10-21,0.73,0.78,0.73,0.74,123400,0.74
2016-10-20,0.73,0.75,0.70,0.75,146700,0.75
2016-10-19,0.71,0.72,0.68,0.72,222800,0.72
2016-10-18,0.73,0.75,0.70,0.70,398000,0.70
2016-10-17,0.74,0.77,0.71,0.72,218000,0.72
2016-10-14,0.75,0.79,0.74,0.74,170400,0.74
2016-10-13,0.75,0.78,0.75,0.75,133200,0.75
2016-10-12,0.76,0.80,0.75,0.78,72900,0.78
2016-10-11,0.80,0.80,0.74,0.75,106300,0.75
2016-10-10,0.81,0.81,0.79,0.80,82400,0.80
2016-10-07,0.80,0.80,0.78,0.80,109900,0.80
2016-10-06,0.81,0.82,0.79,0.79,215900,0.79
2016-10-05,0.81,0.85,0.80,0.82,228600,0.82
2016-10-04,0.80,0.82,0.78,0.79,291800,0.79
2016-10-03,0.75,0.80,0.75,0.80,258100,0.80
2016-09-30,0.78,0.79,0.70,0.74,526400,0.74
2016-09-29,0.79,0.80,0.75,0.76,748200,0.76
2016-09-28,0.75,0.80,0.75,0.79,318000,0.79
2016-09-27,0.84,0.85,0.75,0.75,752300,0.75
