Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,11.92,12.09,11.87,11.88,4678400,11.88
2016-10-25,12.09,12.22,12.08,12.10,3560000,12.10
2016-10-24,12.10,12.19,11.98,12.12,1827600,12.12
2016-10-21,11.88,12.04,11.86,12.03,2522900,12.03
2016-10-20,11.97,12.08,11.89,11.96,1818500,11.96
2016-10-19,11.94,12.08,11.89,12.05,3776800,12.05
2016-10-18,11.73,11.91,11.66,11.91,3009300,11.91
2016-10-17,11.63,11.64,11.51,11.57,2765400,11.57
2016-10-14,11.87,11.89,11.54,11.58,4401900,11.58
2016-10-13,11.87,11.88,11.72,11.79,3553200,11.79
2016-10-12,12.06,12.09,11.97,12.00,2022700,12.00
2016-10-11,11.98,12.12,11.96,12.04,3797900,12.04
2016-10-10,11.87,12.13,11.87,12.06,3270000,12.06
2016-10-07,11.52,11.71,11.45,11.70,3174800,11.70
2016-10-06,11.55,11.57,11.47,11.50,3132800,11.50
2016-10-05,11.56,11.68,11.43,11.64,3148600,11.64
2016-10-04,11.58,11.69,11.42,11.47,3007100,11.47
2016-10-03,11.47,11.61,11.44,11.59,2427400,11.59
2016-09-30,11.55,11.62,11.43,11.44,2853500,11.44
2016-09-29,11.64,11.82,11.47,11.49,3830600,11.49
2016-09-28,11.41,11.67,11.37,11.65,3237300,11.65
2016-09-27,11.39,11.41,11.21,11.37,3507800,11.37
