Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,7.99,8.08,7.63,8.00,63000,8.00
2016-10-25,7.91,8.27,7.91,8.00,189300,8.00
2016-10-24,8.03,8.15,7.98,7.98,54700,7.98
2016-10-21,8.02,8.28,7.95,8.02,64200,8.02
2016-10-20,8.09,8.47,8.01,8.05,167600,8.05
2016-10-19,8.36,8.50,8.32,8.47,64800,8.47
2016-10-18,8.23,8.58,8.18,8.42,121300,8.42
2016-10-17,8.21,8.46,8.11,8.18,96500,8.18
2016-10-14,8.12,8.33,8.12,8.19,26600,8.19
2016-10-13,8.20,8.20,8.02,8.11,45100,8.11
2016-10-12,8.09,8.30,8.09,8.29,23100,8.29
2016-10-11,8.25,8.41,7.98,8.12,177900,8.12
2016-10-10,8.40,8.48,8.24,8.27,27100,8.27
2016-10-07,8.38,8.49,8.23,8.27,34400,8.27
2016-10-06,8.53,8.60,8.07,8.20,141400,8.20
2016-10-05,8.40,8.58,8.36,8.54,108200,8.54
2016-10-04,8.21,8.37,8.21,8.33,58400,8.33
2016-10-03,8.33,8.36,7.89,8.23,145400,8.23
2016-09-30,8.27,8.36,8.17,8.30,177100,8.30
2016-09-29,8.30,8.35,8.10,8.24,198400,8.24
2016-09-28,8.01,8.37,7.94,8.33,265000,8.33
2016-09-27,8.03,8.03,7.81,7.87,68700,7.87
