Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,36.880001,37.389999,36.630001,37.380001,1792300,37.380001
2016-10-25,37.299999,37.299999,36.810001,36.919998,749600,36.919998
2016-10-24,37.209999,37.400002,37.09,37.369999,1143200,37.369999
2016-10-21,36.720001,37.07,36.689999,36.970001,673700,36.970001
2016-10-20,37.07,37.09,36.880001,36.93,822300,36.93
2016-10-19,37.040001,37.32,36.939999,37.080002,1322300,37.080002
2016-10-18,37.349998,37.419998,36.900002,36.919998,986100,36.919998
2016-10-17,36.950001,37.080002,36.75,36.950001,1167100,36.950001
2016-10-14,37.130001,37.450001,37.029999,37.049999,1088900,37.049999
2016-10-13,36.82,37.240002,36.73,37.110001,1059000,37.110001
2016-10-12,36.619999,37.18,36.59,37.099998,1084300,37.099998
2016-10-11,36.93,37.130001,36.419998,36.540001,1070100,36.540001
2016-10-10,36.959999,37.139999,36.849998,36.889999,636600,36.889999
2016-10-07,37.18,37.18,36.73,36.810001,869100,36.810001
2016-10-06,36.880001,37.23,36.759998,37.099998,1068600,37.099998
2016-10-05,37.630001,37.630001,36.889999,36.990002,2011900,36.990002
2016-10-04,37.959999,38.189999,37.48,37.560001,1508000,37.560001
2016-10-03,38.009998,38.119999,37.650002,37.959999,1779700,37.959999
2016-09-30,38.09,38.299999,37.919998,38.029999,1869600,38.029999
2016-09-29,37.540001,37.959999,37.529999,37.900002,1672900,37.900002
2016-09-28,37.799999,37.799999,37.490002,37.639999,1293200,37.639999
2016-09-27,37.43,37.779999,37.380001,37.700001,871300,37.700001
