Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,3.87,3.87,3.60,3.68,27181400,3.68
2016-10-25,3.75,3.95,3.74,3.84,20231300,3.84
2016-10-24,3.88,3.88,3.63,3.73,21615200,3.73
2016-10-21,3.84,3.89,3.80,3.82,15562300,3.82
2016-10-20,3.90,3.92,3.79,3.89,16980100,3.89
2016-10-19,3.89,3.93,3.77,3.87,23972400,3.87
2016-10-18,3.75,3.82,3.70,3.79,21377200,3.79
2016-10-17,3.68,3.76,3.64,3.69,19041100,3.69
2016-10-14,3.78,3.82,3.64,3.65,16967700,3.65
2016-10-13,3.74,3.91,3.66,3.76,21763700,3.76
2016-10-12,3.68,3.79,3.61,3.72,21327000,3.72
2016-10-11,3.75,3.76,3.61,3.64,25461800,3.64
2016-10-10,3.75,3.82,3.71,3.75,16410700,3.75
2016-10-07,3.77,3.84,3.59,3.66,26565900,3.66
2016-10-06,3.63,3.77,3.56,3.67,26938800,3.67
2016-10-05,3.86,3.87,3.60,3.80,21805500,3.80
2016-10-04,4.09,4.11,3.72,3.73,26164900,3.73
2016-10-03,4.31,4.38,4.21,4.29,15111400,4.29
2016-09-30,4.53,4.57,4.31,4.31,16592300,4.31
2016-09-29,4.41,4.49,4.33,4.43,14507500,4.43
2016-09-28,4.35,4.52,4.25,4.46,15390700,4.46
2016-09-27,4.39,4.43,4.29,4.32,16747000,4.315
