Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,25.73,25.969999,25.32,25.370001,4146000,25.370001
2016-10-25,25.83,26.18,25.51,25.889999,4098700,25.889999
2016-10-24,26.26,26.41,26.219999,26.32,1019400,26.32
2016-10-21,26.16,26.23,25.940001,26.15,1432800,26.15
2016-10-20,26.00,26.610001,26.00,26.360001,2828800,26.360001
2016-10-19,26.280001,26.280001,25.549999,25.99,6350300,25.99
2016-10-18,26.43,26.555,26.24,26.280001,4432100,26.280001
2016-10-17,26.25,26.48,26.219999,26.40,1505800,26.40
2016-10-14,26.530001,26.530001,26.10,26.209999,3730900,26.209999
2016-10-13,25.879999,26.43,25.66,26.41,2141400,26.41
2016-10-12,26.10,26.309999,25.99,26.00,1256700,26.00
2016-10-11,26.440001,26.450001,25.639999,26.15,2775900,26.15
2016-10-10,26.92,27.120001,26.60,26.629999,2172200,26.629999
2016-10-07,27.91,28.07,26.67,26.76,5723200,26.76
2016-10-06,28.09,28.26,27.955,28.110001,2937900,28.110001
2016-10-05,28.09,28.17,27.91,28.049999,2540300,28.049999
2016-10-04,28.129999,28.299999,27.950001,28.07,2493100,28.07
2016-10-03,28.25,28.370001,27.90,28.09,2418800,28.09
2016-09-30,28.110001,28.40,28.07,28.27,1701100,28.27
2016-09-29,28.209999,28.27,27.74,27.93,1108100,27.93
2016-09-28,28.040001,28.33,27.905001,28.290001,927800,28.290001
2016-09-27,27.84,28.075001,27.719999,28.01,741100,28.01
