Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,10.10,10.20,10.01,10.06,10015900,10.06
2016-10-25,10.13,10.29,10.02,10.21,11949100,10.21
2016-10-24,10.39,10.43,10.15,10.24,9595500,10.24
2016-10-21,10.24,10.30,10.20,10.22,6046100,10.22
2016-10-20,10.09,10.37,10.07,10.35,11681300,10.35
2016-10-19,10.18,10.28,10.06,10.07,9721800,10.07
2016-10-18,9.97,10.21,9.84,10.17,38856600,10.17
2016-10-17,9.67,9.85,9.62,9.81,10666800,9.81
2016-10-14,9.76,9.81,9.64,9.65,6290500,9.65
2016-10-13,9.45,9.69,9.33,9.65,9357000,9.65
2016-10-12,9.54,9.60,9.41,9.45,31376100,9.45
2016-10-11,9.50,9.58,9.44,9.58,6624800,9.58
2016-10-10,9.61,9.69,9.53,9.59,6513600,9.59
2016-10-07,9.56,9.57,9.34,9.53,9351500,9.53
2016-10-06,9.35,9.45,9.33,9.42,12060900,9.42
2016-10-05,9.40,9.47,9.34,9.42,7816000,9.42
2016-10-04,9.31,9.37,9.16,9.25,14038000,9.25
2016-10-03,8.97,9.30,8.93,9.29,11345500,9.284
2016-09-30,9.18,9.22,9.02,9.07,10680200,8.868268
2016-09-29,9.33,9.37,9.00,9.03,13839800,8.829158
2016-09-28,9.26,9.35,9.07,9.33,11590100,9.122486
2016-09-27,9.02,9.25,8.94,9.23,11923200,9.02471
