Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,1.06,1.11,1.05,1.05,791300,1.05
2016-10-25,1.02,1.10,1.02,1.10,1776300,1.10
2016-10-24,1.03,1.05,1.00,1.03,745300,1.03
2016-10-21,1.05,1.10,1.02,1.03,1720300,1.03
2016-10-20,1.08,1.10,1.05,1.09,1132600,1.09
2016-10-19,0.99,1.08,0.99,1.07,1297000,1.07
2016-10-18,1.03,1.04,0.96,1.00,1080300,1.00
2016-10-17,0.97,1.07,0.95,1.03,1479900,1.03
2016-10-14,1.05,1.09,1.05,1.06,854900,1.06
2016-10-13,1.11,1.11,1.05,1.05,1446800,1.05
2016-10-12,1.07,1.15,1.07,1.10,2317400,1.10
2016-10-11,1.12,1.12,1.05,1.07,1127900,1.07
2016-10-10,1.06,1.14,1.05,1.09,1737200,1.09
2016-10-07,1.03,1.12,1.03,1.04,1701400,1.04
2016-10-06,1.06,1.09,1.01,1.07,1819300,1.07
2016-10-05,1.04,1.05,1.01,1.05,1905600,1.05
2016-10-04,1.09,1.09,0.99,0.99,2055000,0.99
2016-10-03,1.05,1.08,1.01,1.07,5914800,1.07
2016-09-30,0.98,1.04,0.98,1.02,1512200,1.02
2016-09-29,1.12,1.13,0.96,0.98,3994900,0.98
2016-09-28,0.92,1.05,0.88,1.05,3784000,1.05
2016-09-27,0.84,0.96,0.82,0.92,1549000,0.92
