Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,4.48,4.63,4.37,4.58,911900,4.58
2016-10-25,4.65,4.73,4.49,4.50,433300,4.50
2016-10-24,4.51,4.79,4.44,4.62,729800,4.62
2016-10-21,4.47,4.59,4.38,4.51,345100,4.51
2016-10-20,4.18,4.52,4.18,4.50,787300,4.50
2016-10-19,4.12,4.22,4.07,4.18,322200,4.18
2016-10-18,4.01,4.20,4.00,4.16,385100,4.16
2016-10-17,4.01,4.10,3.92,3.99,636800,3.99
2016-10-14,4.21,4.25,4.01,4.04,517800,4.04
2016-10-13,4.05,4.20,4.02,4.16,578200,4.16
2016-10-12,4.28,4.36,4.07,4.09,538400,4.09
2016-10-11,4.44,4.49,4.26,4.29,445000,4.29
2016-10-10,4.40,4.51,4.38,4.48,239300,4.48
2016-10-07,4.45,4.53,4.33,4.37,456200,4.37
2016-10-06,4.58,4.60,4.44,4.45,575000,4.45
2016-10-05,4.55,4.72,4.52,4.60,418300,4.60
2016-10-04,4.62,4.67,4.49,4.53,502900,4.53
2016-10-03,4.38,4.60,4.33,4.58,686100,4.58
2016-09-30,4.46,4.57,4.37,4.41,799600,4.41
2016-09-29,4.67,4.70,4.40,4.45,714800,4.45
2016-09-28,4.76,4.84,4.61,4.70,650800,4.70
2016-09-27,4.69,4.84,4.63,4.76,821600,4.76
