Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,35.849998,37.080002,35.849998,36.439999,324600,36.439999
2016-10-25,36.43,37.139999,36.130001,36.169998,399600,36.169998
2016-10-24,37.669998,37.669998,36.369999,36.400002,382500,36.400002
2016-10-21,36.50,36.830002,36.040001,36.07,409300,36.07
2016-10-20,37.099998,37.43,36.41,36.98,265100,36.98
2016-10-19,36.75,37.450001,36.630001,37.299999,339300,37.299999
2016-10-18,36.439999,37.00,36.279999,36.580002,435400,36.580002
2016-10-17,35.740002,36.169998,35.040001,35.93,271300,35.93
2016-10-14,36.380001,36.540001,35.73,35.790001,267700,35.790001
2016-10-13,35.59,36.099998,34.990002,35.970001,581800,35.970001
2016-10-12,35.990002,36.389999,35.869999,36.07,197600,36.07
2016-10-11,36.860001,36.860001,35.700001,35.959999,588300,35.959999
2016-10-10,37.27,37.68,37.09,37.169998,316400,37.169998
2016-10-07,38.099998,38.34,36.93,36.939999,380500,36.939999
2016-10-06,37.52,38.099998,37.169998,37.939999,361400,37.939999
2016-10-05,37.099998,38.419998,37.029999,37.91,496500,37.91
2016-10-04,37.740002,37.939999,36.779999,36.990002,932400,36.990002
2016-10-03,38.029999,38.360001,37.400002,37.540001,445900,37.540001
2016-09-30,37.16,38.279999,36.869999,38.02,728900,38.02
2016-09-29,37.060001,37.490002,36.75,36.779999,352700,36.779999
2016-09-28,37.02,37.299999,36.450001,37.189999,480600,37.189999
2016-09-27,37.830002,37.919998,36.860001,36.869999,753700,36.869999
