Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,10.40,10.70,10.35,10.60,376900,10.60
2016-10-25,10.80,10.85,10.35,10.45,493700,10.45
2016-10-24,10.85,11.00,10.80,10.90,362800,10.90
2016-10-21,10.65,10.95,10.60,10.75,468000,10.75
2016-10-20,10.55,10.80,10.50,10.75,474000,10.75
2016-10-19,10.55,10.65,10.45,10.65,546500,10.65
2016-10-18,10.65,10.65,10.45,10.50,313200,10.50
2016-10-17,10.55,10.65,10.50,10.55,415800,10.55
2016-10-14,10.59,10.70,10.51,10.52,437700,10.52
2016-10-13,10.67,10.67,10.32,10.55,431600,10.55
2016-10-12,10.56,10.75,10.50,10.67,294000,10.67
2016-10-11,10.71,10.81,10.50,10.56,531400,10.56
2016-10-10,10.89,11.05,10.75,10.76,363900,10.76
2016-10-07,11.02,11.09,10.74,10.84,568700,10.84
2016-10-06,11.12,11.17,10.92,11.05,479400,11.05
2016-10-05,10.90,11.17,10.80,11.08,528300,11.08
2016-10-04,11.10,11.18,10.94,11.04,580900,10.89
2016-10-03,11.20,11.29,10.99,11.11,673900,10.959049
2016-09-30,11.14,11.31,10.92,11.30,853500,11.146468
2016-09-29,10.80,11.14,10.80,10.99,770600,10.840679
2016-09-28,10.89,11.00,10.65,10.91,816600,10.761766
2016-09-27,10.99,11.09,10.83,10.88,496700,10.732174
