Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,64.410004,65.089996,64.400002,64.790001,1223500,64.790001
2016-10-25,64.639999,64.809998,64.440002,64.510002,438500,64.510002
2016-10-24,64.220001,64.550003,64.099998,64.43,785800,64.43
2016-10-21,64.230003,64.360001,64.00,64.169998,880600,64.169998
2016-10-20,64.739998,64.970001,64.529999,64.650002,500600,64.650002
2016-10-19,65.080002,65.690002,64.860001,64.940002,535300,64.940002
2016-10-18,64.919998,65.040001,64.68,64.949997,448700,64.949997
2016-10-17,64.349998,64.650002,64.330002,64.470001,405400,64.470001
2016-10-14,64.480003,64.720001,64.089996,64.290001,395900,64.290001
2016-10-13,63.360001,64.120003,63.049999,64.010002,466500,64.010002
2016-10-12,63.439999,63.82,63.060001,63.57,429700,63.57
2016-10-11,63.50,63.669998,63.060001,63.41,473400,63.41
2016-10-10,63.349998,63.66,63.349998,63.650002,271300,63.650002
2016-10-07,63.650002,63.75,62.700001,63.150002,491600,63.150002
2016-10-06,63.799999,63.810001,63.259998,63.630001,454700,63.630001
2016-10-05,64.120003,64.139999,63.68,63.849998,700100,63.849998
2016-10-04,64.339996,64.699997,63.43,63.900002,2111300,63.900002
2016-10-03,65.379997,65.550003,65.099998,65.449997,293100,65.449997
2016-09-30,65.540001,65.970001,65.449997,65.57,407000,65.57
2016-09-29,66.239998,66.25,65.089996,65.349998,400000,65.349998
2016-09-28,65.129997,66.00,64.849998,65.809998,573600,65.809998
2016-09-27,64.32,65.019997,64.160004,64.93,408400,64.93
