Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,21.50,21.959999,20.50,21.48,2531600,21.48
2016-10-25,21.98,22.209999,21.60,21.74,711100,21.74
2016-10-24,22.290001,22.52,22.00,22.01,488000,22.01
2016-10-21,22.049999,22.25,21.889999,21.950001,576100,21.950001
2016-10-20,22.129999,22.59,21.860001,22.290001,764200,22.290001
2016-10-19,21.950001,22.42,21.950001,22.32,558300,22.32
2016-10-18,22.049999,22.48,21.93,21.950001,555500,21.950001
2016-10-17,22.01,22.299999,21.74,21.790001,478700,21.790001
2016-10-14,22.459999,22.84,22.059999,22.07,449400,22.07
2016-10-13,22.26,22.42,21.67,22.15,757100,22.15
2016-10-12,22.389999,23.059999,22.26,22.540001,645800,22.540001
2016-10-11,23.00,23.16,22.16,22.389999,651600,22.389999
2016-10-10,22.76,23.18,22.57,23.10,638800,23.10
2016-10-07,22.360001,22.84,22.290001,22.66,703100,22.66
2016-10-06,22.74,22.91,22.09,22.389999,547900,22.389999
2016-10-05,22.200001,23.18,22.129999,22.83,866200,22.83
2016-10-04,21.860001,22.629999,21.85,22.10,854400,22.10
2016-10-03,22.41,22.450001,21.41,21.700001,1074100,21.700001
2016-09-30,22.209999,22.65,22.059999,22.40,764400,22.40
2016-09-29,21.90,22.91,21.75,22.200001,1380100,22.200001
2016-09-28,22.84,23.00,21.50,21.639999,1553700,21.639999
2016-09-27,21.85,23.84,21.85,22.889999,2171300,22.889999
