Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,21.00,22.10,21.00,21.35,131300,21.35
2016-10-25,22.40,22.65,21.09,21.35,229000,21.35
2016-10-24,23.90,24.00,22.00,22.200001,354100,22.200001
2016-10-21,22.950001,23.90,22.719999,23.90,325600,23.90
2016-10-20,21.549999,22.43,21.40,22.40,344400,22.40
2016-10-19,20.25,21.450001,20.190001,21.450001,241400,21.450001
2016-10-18,20.549999,20.549999,19.65,20.25,144000,20.25
2016-10-17,20.049999,20.799999,20.00,20.200001,185400,20.200001
2016-10-14,20.00,20.33,19.700001,19.75,129400,19.75
2016-10-13,20.35,20.40,19.75,19.75,126000,19.75
2016-10-12,20.75,20.75,19.450001,20.40,272300,20.40
2016-10-11,21.50,21.85,21.200001,21.299999,410700,20.620999
2016-10-10,20.75,22.15,20.700001,21.35,406800,20.669406
2016-10-07,19.950001,20.74,19.870001,20.67,420900,20.011083
2016-10-06,20.00,20.00,19.66,19.700001,287500,19.072005
2016-10-05,19.52,20.00,19.52,20.00,326700,19.362441
2016-10-04,19.780001,19.889999,19.040001,19.209999,183400,18.597624
2016-10-03,18.93,19.719999,18.700001,19.59,242600,18.965511
2016-09-30,19.17,19.18,18.66,18.66,164300,18.065158
2016-09-29,18.48,19.389999,18.34,18.889999,381600,18.287825
2016-09-28,17.51,18.43,17.50,18.33,501600,17.745677
2016-09-27,17.34,17.50,17.15,17.41,102600,16.855005
