Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,25.10,25.459999,24.940001,25.379999,5284800,25.379999
2016-10-25,24.799999,25.25,24.700001,25.040001,4284500,25.040001
2016-10-24,24.540001,25.049999,24.41,24.790001,4905500,24.790001
2016-10-21,23.530001,24.110001,23.41,24.07,4458200,24.07
2016-10-20,23.75,23.780001,23.469999,23.620001,2957100,23.620001
2016-10-19,23.75,24.049999,23.610001,23.709999,4980100,23.709999
2016-10-18,23.799999,23.799999,23.379999,23.610001,3569100,23.610001
2016-10-17,23.73,23.73,23.34,23.52,3626800,23.52
2016-10-14,23.959999,24.190001,23.639999,23.68,3911900,23.68
2016-10-13,24.00,24.02,23.74,23.84,5397600,23.84
2016-10-12,24.32,24.40,24.02,24.16,3651100,24.16
2016-10-11,24.620001,24.65,24.02,24.299999,4147300,24.299999
2016-10-10,24.790001,24.879999,24.52,24.66,2064700,24.66
2016-10-07,24.790001,24.790001,24.459999,24.68,2548200,24.68
2016-10-06,25.129999,25.139999,24.65,24.790001,3163100,24.790001
2016-10-05,25.25,25.360001,24.98,25.139999,4127900,25.139999
2016-10-04,25.290001,25.360001,24.879999,25.09,3674100,25.09
2016-10-03,25.43,25.73,25.049999,25.190001,2580300,25.190001
2016-09-30,25.26,25.700001,25.049999,25.530001,5698500,25.530001
2016-09-29,25.07,25.52,24.889999,25.059999,4169800,25.059999
2016-09-28,25.10,25.18,24.860001,25.120001,3493500,25.120001
2016-09-27,25.35,25.440001,24.92,25.00,5416800,25.00
