Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,16.68,17.01,16.58,16.950001,1655100,16.950001
2016-10-25,16.700001,16.98,16.52,16.719999,1475900,16.719999
2016-10-24,16.93,17.10,16.35,16.77,2793200,16.77
2016-10-21,16.639999,17.040001,16.50,16.790001,1757900,16.790001
2016-10-20,16.16,16.93,16.129999,16.67,2713100,16.67
2016-10-19,15.97,16.32,15.88,16.219999,2120300,16.219999
2016-10-18,15.45,16.129999,15.45,15.86,2268300,15.86
2016-10-17,14.87,15.35,14.73,15.26,2039900,15.26
2016-10-14,14.95,15.09,14.66,14.93,2545000,14.93
2016-10-13,14.80,14.97,14.41,14.87,2261200,14.87
2016-10-12,15.09,15.31,14.87,15.02,1315300,15.02
2016-10-11,15.38,15.41,14.809,15.06,1683400,15.06
2016-10-10,15.92,16.02,15.46,15.51,1321200,15.51
2016-10-07,16.290001,16.290001,15.56,15.75,2390400,15.75
2016-10-06,16.07,16.32,16.01,16.200001,1294800,16.200001
2016-10-05,15.81,16.245001,15.71,16.17,2018300,16.17
2016-10-04,16.00,16.139999,15.595,15.62,1305600,15.62
2016-10-03,15.94,16.120001,15.77,15.92,1613900,15.92
2016-09-30,15.20,16.08,15.20,16.00,3648700,16.00
2016-09-29,15.30,15.50,15.08,15.16,2015800,15.16
2016-09-28,15.12,15.40,14.66,15.23,2357500,15.23
2016-09-27,14.52,15.15,14.47,14.97,1950600,14.97
