Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,7.09,7.29,7.04,7.25,324100,7.25
2016-10-25,7.15,7.26,7.10,7.15,166900,7.15
2016-10-24,7.10,7.27,7.08,7.16,172600,7.16
2016-10-21,7.04,7.12,6.71,7.09,175900,7.09
2016-10-20,7.06,7.15,7.03,7.10,235200,7.10
2016-10-19,6.89,7.07,6.87,7.05,324500,7.05
2016-10-18,7.00,7.04,6.87,6.88,206000,6.88
2016-10-17,6.87,7.00,6.85,6.96,123200,6.96
2016-10-14,6.83,6.96,6.81,6.90,324000,6.90
2016-10-13,6.79,6.92,6.70,6.77,392600,6.77
2016-10-12,6.99,6.99,6.85,6.87,138100,6.87
2016-10-11,7.13,7.13,6.93,6.96,138400,6.96
2016-10-10,7.02,7.18,7.01,7.15,164200,7.15
2016-10-07,7.07,7.07,6.94,6.98,157400,6.98
2016-10-06,6.92,7.09,6.90,7.07,204700,7.07
2016-10-05,6.76,7.05,6.70,6.95,420000,6.95
2016-10-04,6.81,6.89,6.70,6.72,201600,6.72
2016-10-03,6.79,6.96,6.77,6.80,370500,6.80
2016-09-30,6.76,6.92,6.72,6.79,590300,6.79
2016-09-29,6.81,6.86,6.72,6.73,174600,6.73
2016-09-28,6.72,6.85,6.59,6.84,118300,6.84
2016-09-27,6.73,6.77,6.63,6.73,135000,6.73
