Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,26.370001,26.870001,26.34,26.870001,4987200,26.870001
2016-10-25,26.40,26.545,26.190001,26.459999,4255900,26.459999
2016-10-24,26.360001,26.49,26.17,26.35,5127100,26.35
2016-10-21,25.68,26.09,25.50,25.969999,4308400,25.969999
2016-10-20,25.190001,25.74,25.139999,25.549999,6624300,25.549999
2016-10-19,24.93,25.405001,24.93,25.299999,3578900,25.299999
2016-10-18,24.93,24.950001,24.559999,24.85,3373900,24.85
2016-10-17,24.84,25.00,24.434999,24.58,3493800,24.58
2016-10-14,24.92,25.10,24.610001,24.790001,3596500,24.790001
2016-10-13,24.940001,24.955,24.219999,24.52,4791900,24.52
2016-10-12,24.99,25.485001,24.950001,25.25,4079400,25.25
2016-10-11,25.540001,25.76,24.83,24.959999,7271500,24.959999
2016-10-10,25.790001,25.909,25.49,25.540001,3131200,25.540001
2016-10-07,25.700001,25.799999,25.219999,25.50,4944000,25.50
2016-10-06,25.59,25.790001,25.33,25.690001,3921100,25.690001
2016-10-05,25.15,25.68,25.049999,25.57,5297800,25.57
2016-10-04,24.67,25.34,24.639999,24.99,5959300,24.99
2016-10-03,24.57,24.719999,24.42,24.60,3174200,24.60
2016-09-30,24.280001,24.82,24.120001,24.709999,6661500,24.709999
2016-09-29,24.469999,24.59,23.84,24.049999,5070200,24.049999
2016-09-28,24.309999,24.469999,23.889999,24.41,8700300,24.41
2016-09-27,23.90,24.33,23.809999,24.309999,3868500,24.309999
