Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,15.90,16.200001,15.60,16.049999,587300,16.049999
2016-10-25,15.55,15.90,15.55,15.75,1067500,15.75
2016-10-24,15.20,15.65,15.20,15.50,391200,15.50
2016-10-21,14.80,15.43,14.70,15.00,407200,15.00
2016-10-20,14.90,15.00,14.75,14.80,228900,14.80
2016-10-19,14.65,15.00,14.50,14.90,475700,14.90
2016-10-18,14.60,14.60,14.50,14.55,253200,14.55
2016-10-17,14.55,14.60,14.35,14.40,263700,14.40
2016-10-14,14.50,14.95,14.43,14.62,273300,14.62
2016-10-13,15.00,15.03,14.61,14.77,542500,14.77
2016-10-12,15.24,15.37,15.03,15.05,258800,15.05
2016-10-11,15.50,15.52,15.06,15.19,282900,15.19
2016-10-10,15.69,15.74,15.52,15.55,149400,15.55
2016-10-07,15.73,15.73,15.50,15.53,187200,15.53
2016-10-06,15.60,15.75,15.53,15.60,212000,15.60
2016-10-05,15.45,15.70,15.45,15.60,238200,15.60
2016-10-04,15.62,15.62,15.25,15.51,195500,15.51
2016-10-03,15.61,15.72,15.41,15.49,272700,15.49
2016-09-30,15.25,15.65,15.10,15.57,317500,15.57
2016-09-29,15.27,15.50,15.16,15.23,249500,15.23
2016-09-28,15.15,15.35,15.00,15.32,286300,15.32
2016-09-27,14.99,15.11,14.90,15.07,277600,15.07
