Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,5.88,6.19,5.71,6.00,67122800,6.00
2016-10-25,6.38,6.50,6.10,6.11,68028200,6.11
2016-10-24,6.65,6.72,6.29,6.36,60065900,6.36
2016-10-21,6.96,7.11,6.59,6.68,87994500,6.68
2016-10-20,6.55,6.95,6.36,6.91,106993100,6.91
2016-10-19,6.63,6.85,6.60,6.72,65649000,6.72
2016-10-18,6.51,6.60,6.32,6.52,38314300,6.52
2016-10-17,6.54,6.68,6.28,6.35,37168200,6.35
2016-10-14,6.45,6.70,6.45,6.56,49801600,6.56
2016-10-13,6.20,6.55,6.04,6.43,48970400,6.43
2016-10-12,6.25,6.30,6.10,6.29,22944400,6.29
2016-10-11,6.38,6.46,6.11,6.28,41730700,6.28
2016-10-10,6.45,6.62,6.41,6.44,28179000,6.44
2016-10-07,6.68,6.73,6.34,6.35,42543800,6.35
2016-10-06,6.91,6.97,6.60,6.65,43908600,6.65
2016-10-05,6.45,6.90,6.45,6.80,59353000,6.80
2016-10-04,6.46,6.55,6.36,6.37,34964100,6.37
2016-10-03,6.34,6.45,6.18,6.40,31434400,6.40
2016-09-30,6.13,6.30,6.03,6.27,72673800,6.27
2016-09-29,6.41,6.53,6.06,6.12,133578300,6.12
2016-09-28,6.29,6.80,6.21,6.75,56535700,6.75
2016-09-27,6.50,6.51,5.97,6.23,83338400,6.23
