Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,35.630001,36.290001,35.560001,36.099998,2815900,36.099998
2016-10-25,35.439999,36.419998,35.25,35.959999,5761900,35.959999
2016-10-24,36.099998,36.82,35.82,36.52,6592600,36.52
2016-10-21,35.889999,36.110001,35.66,35.91,2062300,35.91
2016-10-20,36.400002,36.599998,35.959999,36.16,2628400,36.16
2016-10-19,36.799999,36.919998,36.23,36.400002,2385000,36.400002
2016-10-18,36.66,36.709999,35.93,36.619999,2044600,36.619999
2016-10-17,36.290001,36.41,35.98,36.09,1187400,36.09
2016-10-14,36.619999,36.639999,35.959999,36.18,1890200,36.18
2016-10-13,35.970001,36.02,35.169998,35.880001,3016300,35.880001
2016-10-12,36.619999,36.700001,36.16,36.48,1909900,36.48
2016-10-11,37.060001,37.200001,36.189999,36.57,2556600,36.57
2016-10-10,37.18,37.18,36.509998,36.759998,3566300,36.759998
2016-10-07,37.889999,37.98,36.169998,36.93,8381300,36.93
2016-10-06,36.360001,36.52,35.869999,36.400002,968200,36.400002
2016-10-05,36.470001,36.880001,36.259998,36.259998,1762800,36.259998
2016-10-04,36.299999,36.549999,36.060001,36.259998,1379100,36.259998
2016-10-03,36.060001,36.41,35.939999,36.189999,791600,36.189999
2016-09-30,36.310001,36.59,35.68,36.299999,1815000,36.299999
2016-09-29,36.25,36.73,35.34,35.75,1178400,35.75
2016-09-28,35.759998,36.48,35.610001,36.470001,1286900,36.470001
2016-09-27,35.080002,35.66,34.970001,35.48,1072900,35.48
