Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,19.68,19.879999,19.549999,19.780001,1800100,19.780001
2016-10-25,19.60,19.879999,19.379999,19.799999,1278200,19.799999
2016-10-24,19.57,19.860001,19.52,19.57,1509200,19.57
2016-10-21,18.82,19.59,18.82,19.48,1908800,19.48
2016-10-20,18.799999,19.07,18.76,19.049999,1255200,19.049999
2016-10-19,18.950001,19.040001,18.790001,18.83,865900,18.83
2016-10-18,18.219999,18.969999,18.15,18.91,1807000,18.91
2016-10-17,17.85,18.219999,17.799999,18.120001,1361700,18.120001
2016-10-14,18.049999,18.07,17.76,17.77,969600,17.77
2016-10-13,17.90,18.02,17.76,17.950001,548000,17.950001
2016-10-12,17.969999,18.219999,17.82,17.959999,1019100,17.959999
2016-10-11,18.02,18.110001,17.76,17.98,875000,17.98
2016-10-10,17.940001,18.110001,17.940001,18.059999,571200,18.059999
2016-10-07,18.18,18.26,17.799999,17.809999,1404600,17.809999
2016-10-06,18.16,18.370001,18.049999,18.09,1201500,18.09
2016-10-05,18.120001,18.219999,17.950001,18.209999,1799400,18.209999
2016-10-04,18.139999,18.219999,17.860001,18.07,630000,18.07
2016-10-03,18.17,18.219999,17.879999,18.10,903000,18.10
2016-09-30,18.040001,18.42,17.83,18.23,2397900,18.23
2016-09-29,18.02,18.309999,17.870001,17.940001,1160200,17.940001
2016-09-28,17.67,18.190001,17.67,18.129999,2080200,18.129999
2016-09-27,18.09,18.33,17.950001,18.27,870000,17.870001
