Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,32.470001,32.939999,32.209999,32.560001,1867400,32.560001
2016-10-25,33.029999,33.290001,32.59,32.709999,2046000,32.709999
2016-10-24,33.00,33.240002,32.59,33.07,3608700,33.07
2016-10-21,32.919998,33.279999,32.799999,33.139999,1891400,33.139999
2016-10-20,32.599998,33.200001,32.560001,33.119999,1781800,33.119999
2016-10-19,32.619999,33.220001,32.52,33.07,1476200,33.07
2016-10-18,32.66,32.84,32.290001,32.349998,1969800,32.349998
2016-10-17,32.099998,32.25,31.90,32.200001,2245800,32.200001
2016-10-14,32.59,32.919998,32.02,32.130001,2385900,32.130001
2016-10-13,32.200001,32.560001,31.950001,32.419998,2527000,32.419998
2016-10-12,32.349998,32.619999,32.18,32.470001,2471600,32.470001
2016-10-11,32.259998,32.599998,32.23,32.57,3757500,32.57
2016-10-10,32.299999,32.939999,32.259998,32.330002,954600,32.330002
2016-10-07,32.299999,32.540001,31.629999,31.91,2590800,31.91
2016-10-06,32.66,32.82,32.189999,32.299999,2963700,32.299999
2016-10-05,32.310001,32.75,32.209999,32.529999,2577600,32.529999
2016-10-04,32.099998,32.419998,31.58,31.85,1717900,31.85
2016-10-03,32.040001,32.380001,31.719999,32.209999,1850900,32.209999
2016-09-30,32.169998,32.389999,31.99,32.040001,2031400,32.040001
2016-09-29,31.42,32.27,31.42,32.040001,3673400,32.040001
2016-09-28,29.309999,31.450001,29.17,31.43,4040800,31.43
2016-09-27,29.139999,29.25,28.690001,29.110001,2795200,29.110001
