Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,20.370001,21.040001,20.18,20.93,9464900,20.93
2016-10-25,20.940001,21.27,20.549999,20.629999,5081700,20.629999
2016-10-24,21.25,21.42,20.84,21.110001,4883400,21.110001
2016-10-21,21.889999,22.059999,21.299999,21.370001,7865000,21.370001
2016-10-20,21.09,22.139999,21.00,22.059999,10226700,22.059999
2016-10-19,22.219999,22.25,21.559999,21.58,8212300,21.58
2016-10-18,22.16,22.26,21.66,22.110001,7972200,22.110001
2016-10-17,22.33,22.42,21.450001,21.93,8678400,21.93
2016-10-14,23.040001,23.370001,22.40,22.549999,11193100,22.549999
2016-10-13,23.709999,24.17,22.190001,22.75,26264900,22.75
2016-10-12,23.549999,23.92,23.25,23.860001,4251100,23.860001
2016-10-11,24.030001,24.120001,23.540001,23.639999,6605200,23.639999
2016-10-10,25.57,25.57,23.870001,24.16,11863000,24.16
2016-10-07,25.549999,25.67,24.459999,24.77,12567500,24.77
2016-10-06,25.75,25.93,25.41,25.52,4173000,25.52
2016-10-05,25.540001,25.85,25.34,25.690001,5973800,25.690001
2016-10-04,25.60,25.629999,25.08,25.209999,5671400,25.209999
2016-10-03,25.889999,25.889999,25.450001,25.709999,3604600,25.709999
2016-09-30,25.58,25.91,25.440001,25.799999,4747200,25.799999
2016-09-29,25.42,25.799999,24.969999,25.469999,8725600,25.469999
2016-09-28,24.59,25.60,24.40,25.49,8310100,25.49
2016-09-27,24.82,24.82,24.219999,24.34,6158800,24.34
