Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,16.049999,16.16,15.79,15.92,425300,15.92
2016-10-25,16.040001,16.110001,15.97,16.10,215400,16.10
2016-10-24,16.07,16.290001,15.94,16.139999,176200,16.139999
2016-10-21,16.23,16.23,15.86,15.94,290600,15.94
2016-10-20,16.16,16.549999,16.16,16.34,243600,16.34
2016-10-19,16.17,16.48,15.97,16.23,438100,16.23
2016-10-18,16.280001,16.42,16.10,16.17,475100,16.17
2016-10-17,16.02,16.26,15.97,16.09,161600,16.09
2016-10-14,16.120001,16.139999,15.96,16.00,299500,16.00
2016-10-13,15.81,16.23,15.81,16.049999,209400,16.049999
2016-10-12,16.219999,16.389999,15.99,16.00,183000,16.00
2016-10-11,16.700001,16.700001,16.25,16.290001,465700,16.290001
2016-10-10,16.379999,16.82,16.379999,16.74,312700,16.74
2016-10-07,16.360001,16.540001,16.27,16.40,429100,16.40
2016-10-06,16.50,16.68,16.25,16.389999,441000,16.389999
2016-10-05,16.66,16.690001,16.50,16.52,146000,16.52
2016-10-04,16.75,16.959999,16.57,16.60,234900,16.60
2016-10-03,16.780001,16.85,16.52,16.75,351000,16.75
2016-09-30,16.66,16.84,16.389999,16.799999,548200,16.799999
2016-09-29,16.83,16.889999,16.59,16.639999,179000,16.639999
2016-09-28,16.74,16.98,16.74,16.860001,283700,16.860001
2016-09-27,16.66,16.82,16.48,16.65,213200,16.65
