Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,106.32,106.830002,105.760002,106.610001,463400,106.610001
2016-10-25,106.639999,106.919998,106.07,106.730003,598200,106.730003
2016-10-24,107.07,107.599998,106.540001,106.970001,380000,106.970001
2016-10-21,106.129997,106.760002,105.860001,106.449997,666400,106.449997
2016-10-20,107.900002,107.980003,106.160004,106.57,964200,106.57
2016-10-19,108.18,108.779999,107.790001,108.080002,549100,108.080002
2016-10-18,109.279999,111.029999,108.300003,108.400002,550300,108.400002
2016-10-17,109.019997,109.550003,108.160004,108.25,455700,108.25
2016-10-14,109.459999,110.150002,109.230003,109.25,324600,109.25
2016-10-13,109.360001,109.769997,108.389999,109.330002,415000,109.330002
2016-10-12,109.580002,110.110001,109.239998,109.75,388200,109.75
2016-10-11,110.309998,110.900002,108.980003,109.32,513500,109.32
2016-10-10,110.839996,111.360001,110.50,110.779999,468000,110.779999
2016-10-07,112.029999,112.029999,110.339996,110.459999,611500,110.459999
2016-10-06,110.400002,112.00,110.309998,111.760002,507000,111.760002
2016-10-05,111.349998,111.910004,110.610001,110.919998,771500,110.919998
2016-10-04,112.440002,112.75,110.43,111.480003,838900,111.480003
2016-10-03,112.769997,113.900002,112.160004,112.419998,785500,112.419998
2016-09-30,111.900002,112.809998,111.330002,112.599998,1414000,112.599998
2016-09-29,115.550003,116.07,111.089996,111.360001,1511200,111.360001
2016-09-28,118.889999,118.900002,115.620003,116.169998,1475200,116.169998
2016-09-27,113.190002,113.720001,112.330002,113.43,731900,113.43
