Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,84.919998,85.629997,83.860001,83.900002,956800,83.900002
2016-10-25,85.919998,86.300003,84.739998,84.900002,1270900,84.900002
2016-10-24,86.00,86.709999,85.779999,86.169998,2264100,86.169998
2016-10-21,86.089996,86.919998,85.010002,85.199997,3037700,85.199997
2016-10-20,89.650002,89.839996,86.110001,86.339996,3947500,86.339996
2016-10-19,85.43,86.910004,85.120003,86.300003,2445900,86.300003
2016-10-18,84.199997,85.589996,83.989998,85.32,1895600,85.32
2016-10-17,83.800003,84.32,83.099998,83.169998,1099600,83.169998
2016-10-14,83.919998,84.639999,83.449997,83.639999,1809500,83.639999
2016-10-13,82.860001,84.080002,81.360001,83.389999,2239400,83.389999
2016-10-12,83.209999,84.00,82.839996,83.330002,890300,83.330002
2016-10-11,84.559998,84.75,82.449997,83.07,1304200,83.07
2016-10-10,84.830002,85.699997,84.57,84.699997,591100,84.699997
2016-10-07,85.010002,85.129997,83.68,84.300003,471700,84.300003
2016-10-06,85.059998,85.339996,84.209999,84.910004,569100,84.910004
2016-10-05,84.550003,85.349998,84.019997,84.959999,714400,84.959999
2016-10-04,84.830002,84.900002,83.650002,84.110001,927900,84.110001
2016-10-03,84.480003,84.900002,83.25,84.160004,1069900,84.160004
2016-09-30,85.360001,85.830002,84.769997,85.220001,1098800,85.220001
2016-09-29,86.029999,86.199997,84.910004,84.940002,582100,84.940002
2016-09-28,85.190002,86.080002,84.980003,86.029999,669400,86.029999
2016-09-27,84.190002,85.400002,83.970001,85.25,554100,85.25
