Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,0.49,0.52,0.48,0.50,587700,0.50
2016-10-25,0.49,0.50,0.48,0.49,518100,0.49
2016-10-24,0.54,0.54,0.50,0.50,656500,0.50
2016-10-21,0.52,0.54,0.52,0.53,482500,0.53
2016-10-20,0.56,0.56,0.52,0.53,468100,0.53
2016-10-19,0.51,0.55,0.48,0.55,2079200,0.55
2016-10-18,0.47,0.51,0.47,0.50,738800,0.50
2016-10-17,0.47,0.50,0.45,0.48,946400,0.48
2016-10-14,0.49,0.49,0.46,0.47,887400,0.47
2016-10-13,0.49,0.50,0.48,0.49,840500,0.49
2016-10-12,0.52,0.52,0.48,0.49,1577300,0.49
2016-10-11,0.54,0.55,0.52,0.52,820700,0.52
2016-10-10,0.55,0.57,0.54,0.54,876900,0.54
2016-10-07,0.57,0.57,0.52,0.54,968400,0.54
2016-10-06,0.58,0.58,0.56,0.57,519400,0.57
2016-10-05,0.56,0.58,0.56,0.58,391900,0.58
2016-10-04,0.58,0.58,0.56,0.57,422000,0.57
2016-10-03,0.59,0.59,0.57,0.58,556100,0.58
2016-09-30,0.57,0.59,0.56,0.59,1081300,0.59
2016-09-29,0.57,0.58,0.56,0.56,805700,0.56
2016-09-28,0.57,0.58,0.56,0.57,604200,0.57
2016-09-27,0.56,0.57,0.56,0.56,1259900,0.56
