Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,15.16,15.27,15.13,15.17,1892200,15.17
2016-10-25,15.33,15.37,15.26,15.27,1372400,15.27
2016-10-24,15.33,15.35,15.19,15.34,1957200,15.34
2016-10-21,15.25,15.33,15.21,15.33,1034100,15.33
2016-10-20,15.26,15.31,15.19,15.27,1212700,15.27
2016-10-19,15.33,15.45,15.33,15.41,2279500,15.41
2016-10-18,15.35,15.36,15.25,15.31,786500,15.31
2016-10-17,15.25,15.28,15.16,15.28,2010500,15.28
2016-10-14,15.25,15.28,15.21,15.26,1170100,15.26
2016-10-13,15.13,15.28,15.07,15.25,1197700,15.25
2016-10-12,15.18,15.22,15.14,15.15,3655800,15.15
2016-10-11,15.32,15.34,15.20,15.26,2989800,15.26
2016-10-10,15.18,15.41,15.18,15.35,1547900,15.35
2016-10-07,15.26,15.29,15.12,15.18,1358400,15.18
2016-10-06,15.20,15.23,15.14,15.22,1460000,15.22
2016-10-05,15.22,15.24,15.12,15.19,4075500,15.19
2016-10-04,15.17,15.18,15.08,15.10,1430600,15.10
2016-10-03,15.03,15.17,14.94,15.14,4734000,15.14
2016-09-30,15.01,15.04,14.95,15.01,1924000,15.01
2016-09-29,14.90,15.04,14.87,14.96,1276900,14.96
2016-09-28,14.60,14.94,14.52,14.87,2413800,14.87
2016-09-27,14.52,14.60,14.47,14.53,1134000,14.53
