Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,85.879997,87.470001,85.620003,87.040001,2174800,87.040001
2016-10-25,86.330002,87.489998,86.220001,86.519997,2039000,86.519997
2016-10-24,86.809998,87.190002,86.18,86.699997,1323400,86.699997
2016-10-21,85.449997,86.50,85.269997,86.43,1394900,86.43
2016-10-20,86.389999,86.449997,85.330002,86.110001,1951800,86.110001
2016-10-19,86.50,86.93,85.949997,86.559998,1915300,86.559998
2016-10-18,87.120003,87.120003,85.809998,86.610001,1882000,86.610001
2016-10-17,86.43,86.730003,86.300003,86.470001,1118700,86.470001
2016-10-14,86.879997,87.290001,86.339996,86.400002,1800700,86.400002
2016-10-13,86.449997,86.769997,86.120003,86.339996,2437100,86.339996
2016-10-12,87.129997,87.620003,86.599998,86.940002,2167700,86.940002
2016-10-11,87.18,87.790001,86.57,87.050003,2008100,87.050003
2016-10-10,87.419998,89.339996,87.300003,87.489998,3719800,87.489998
2016-10-07,85.279999,86.669998,85.120003,86.300003,2922700,86.300003
2016-10-06,85.129997,86.019997,85.050003,85.290001,2029200,85.290001
2016-10-05,85.00,85.779999,84.510002,85.120003,1782800,85.120003
2016-10-04,85.550003,86.239998,84.650002,84.699997,2126300,84.699997
2016-10-03,84.610001,85.800003,84.239998,85.349998,2679600,85.349998
2016-09-30,84.220001,85.489998,84.18,85.349998,3157800,85.349998
2016-09-29,84.089996,84.910004,83.470001,83.860001,2725500,83.860001
2016-09-28,82.720001,84.169998,82.699997,84.089996,3389500,84.089996
2016-09-27,83.220001,83.550003,82.800003,83.050003,2797900,82.450003
