Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,53.849998,54.009998,53.50,53.759998,6445000,53.759998
2016-10-25,54.27,54.299999,53.75,54.110001,7506100,54.110001
2016-10-24,54.330002,54.369999,53.990002,54.240002,5339300,54.240002
2016-10-21,53.50,54.200001,53.330002,54.099998,6572200,54.099998
2016-10-20,53.720001,53.970001,53.509998,53.82,3743600,53.82
2016-10-19,53.880001,54.169998,53.599998,53.93,6427500,53.93
2016-10-18,53.549999,53.900002,53.369999,53.689999,4262000,53.689999
2016-10-17,53.23,53.75,52.779999,53.00,4769500,53.00
2016-10-14,53.02,53.759998,53.02,53.380001,4653800,53.380001
2016-10-13,52.599998,53.060001,52.18,52.91,4521500,52.91
2016-10-12,53.509998,53.689999,52.889999,53.209999,3056200,53.209999
2016-10-11,53.439999,53.529999,52.919998,53.52,4963800,53.52
2016-10-10,53.529999,53.900002,53.369999,53.540001,5215400,53.540001
2016-10-07,53.59,53.73,52.790001,52.990002,6810100,52.990002
2016-10-06,52.650002,53.610001,52.380001,53.59,8120700,53.59
2016-10-05,52.029999,53.00,51.98,52.700001,6365700,52.700001
2016-10-04,52.470001,52.75,51.740002,51.860001,6884000,51.860001
2016-10-03,52.34,52.900002,52.139999,52.419998,7016600,52.419998
2016-09-30,52.040001,52.279999,51.790001,51.830002,6649600,51.830002
2016-09-29,52.330002,52.619999,51.650002,51.73,5078800,51.73
2016-09-28,52.419998,52.48,51.66,52.330002,5920900,52.330002
2016-09-27,52.150002,52.610001,52.02,52.57,4002300,52.109999
