Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,26.42,26.440001,24.01,25.309999,4274100,25.309999
2016-10-25,29.01,29.17,28.74,28.879999,342700,28.879999
2016-10-24,28.90,29.360001,28.629999,28.950001,664700,28.950001
2016-10-21,28.75,28.969999,28.34,28.860001,471300,28.860001
2016-10-20,28.030001,29.159,28.030001,29.059999,438000,29.059999
2016-10-19,28.17,28.48,27.709999,28.059999,479000,28.059999
2016-10-18,28.200001,28.540001,28.077999,28.40,284200,28.40
2016-10-17,27.629999,27.92,27.57,27.790001,383200,27.790001
2016-10-14,28.190001,28.34,27.52,27.68,509400,27.68
2016-10-13,28.049999,28.200001,27.77,27.969999,618500,27.969999
2016-10-12,27.309999,28.370001,27.18,28.309999,633700,28.309999
2016-10-11,27.790001,27.870001,26.719999,27.32,759800,27.32
2016-10-10,28.280001,28.48,27.75,27.940001,1121500,27.940001
2016-10-07,28.040001,28.41,27.799999,28.360001,560900,28.360001
2016-10-06,28.200001,28.27,27.58,28.049999,440300,28.049999
2016-10-05,28.09,28.59,27.91,28.26,374100,28.26
2016-10-04,28.120001,28.27,27.92,28.030001,471500,28.030001
2016-10-03,27.99,28.32,27.76,28.120001,595900,28.120001
2016-09-30,27.00,28.33,26.910999,28.01,874100,28.01
2016-09-29,28.10,28.195,26.92,27.00,736200,27.00
2016-09-28,28.629999,28.629999,27.290001,28.18,877100,28.18
2016-09-27,29.110001,29.35,28.42,28.459999,441600,28.459999
