Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,2.50,2.51,2.41,2.50,733700,2.50
2016-10-25,2.49,2.62,2.47,2.51,306300,2.51
2016-10-24,2.51,2.53,2.49,2.52,202600,2.52
2016-10-21,2.50,2.52,2.48,2.51,179600,2.51
2016-10-20,2.53,2.56,2.51,2.53,183400,2.53
2016-10-19,2.51,2.63,2.49,2.58,310700,2.58
2016-10-18,2.52,2.61,2.50,2.50,156000,2.50
2016-10-17,2.50,2.53,2.47,2.52,190800,2.52
2016-10-14,2.55,2.57,2.49,2.56,245700,2.56
2016-10-13,2.51,2.57,2.46,2.55,468000,2.55
2016-10-12,2.57,2.60,2.53,2.55,262900,2.55
2016-10-11,2.65,2.65,2.57,2.59,316700,2.59
2016-10-10,2.73,2.74,2.61,2.63,437600,2.63
2016-10-07,2.77,2.83,2.70,2.76,308400,2.76
2016-10-06,2.81,2.85,2.68,2.78,413200,2.78
2016-10-05,2.71,2.85,2.70,2.78,461300,2.78
2016-10-04,2.74,2.79,2.61,2.65,236500,2.65
2016-10-03,2.61,2.75,2.58,2.74,337600,2.74
2016-09-30,2.65,2.66,2.55,2.62,161500,2.62
2016-09-29,2.80,2.81,2.61,2.61,271400,2.61
2016-09-28,2.90,2.90,2.53,2.79,899700,2.79
2016-09-27,2.75,2.83,2.75,2.81,261400,2.81
