Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,48.98,49.310001,47.66,47.720001,2391800,47.720001
2016-10-25,49.080002,50.450001,48.080002,49.490002,4143800,49.490002
2016-10-24,52.369999,52.810001,52.00,52.099998,3411000,52.099998
2016-10-21,50.990002,51.900002,50.580002,51.880001,2299900,51.880001
2016-10-20,50.419998,50.849998,49.950001,50.77,1147600,50.77
2016-10-19,50.240002,50.939999,50.240002,50.77,981900,50.77
2016-10-18,50.540001,50.869999,50.169998,50.25,542200,50.25
2016-10-17,50.470001,51.040001,49.98,50.139999,761600,50.139999
2016-10-14,49.939999,50.689999,49.939999,50.43,1635200,50.43
2016-10-13,50.650002,50.700001,49.849998,49.959999,1403100,49.959999
2016-10-12,50.790001,51.27,50.599998,50.970001,774500,50.970001
2016-10-11,51.189999,51.290001,50.529999,50.639999,714400,50.639999
2016-10-10,50.259998,51.240002,50.25,51.02,694900,51.02
2016-10-07,50.580002,50.639999,49.950001,50.259998,952300,50.259998
2016-10-06,50.130001,50.650002,49.599998,50.509998,883500,50.509998
2016-10-05,50.209999,50.66,50.060001,50.130001,1213400,50.130001
2016-10-04,51.630001,52.00,50.00,50.310001,1067800,50.310001
2016-10-03,50.32,51.07,50.139999,50.759998,1439500,50.759998
2016-09-30,50.330002,50.52,49.970001,50.43,1116700,50.43
2016-09-29,50.900002,50.950001,50.139999,50.189999,1159800,50.189999
2016-09-28,52.119999,52.32,50.669998,51.00,1727600,51.00
2016-09-27,53.369999,53.43,51.900002,52.299999,1364400,52.299999
