Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,22.48,22.639999,22.16,22.459999,1252300,22.459999
2016-10-25,21.90,21.98,21.65,21.780001,636300,21.780001
2016-10-24,21.60,22.01,21.540001,21.860001,632200,21.860001
2016-10-21,22.48,22.58,22.08,22.129999,651400,22.129999
2016-10-20,22.15,22.35,21.84,22.139999,1020900,22.139999
2016-10-19,22.01,22.24,21.790001,21.92,687700,21.92
2016-10-18,22.379999,22.60,22.190001,22.290001,890500,22.290001
2016-10-17,23.59,23.65,23.309999,23.57,831800,23.57
2016-10-14,23.01,23.629999,22.870001,23.52,1027000,23.52
2016-10-13,24.030001,24.41,23.35,23.58,1877900,23.58
2016-10-12,23.08,23.299999,22.75,22.98,1113500,22.98
2016-10-11,22.49,23.17,22.469999,22.870001,1956500,22.870001
2016-10-10,21.639999,21.76,21.24,21.389999,1001000,21.389999
2016-10-07,21.74,22.610001,21.68,22.110001,1851900,22.110001
2016-10-06,22.219999,22.379999,21.780001,21.799999,1135400,21.799999
2016-10-05,22.17,22.379999,21.780001,21.889999,1408800,21.889999
2016-10-04,22.09,23.08,21.940001,22.90,2575000,22.90
2016-10-03,22.43,22.73,22.01,22.10,1397000,22.10
2016-09-30,22.620001,22.91,22.35,22.549999,1367800,22.549999
2016-09-29,22.120001,23.09,21.940001,22.91,2064300,22.91
2016-09-28,22.25,22.860001,21.719999,21.73,1415400,21.73
2016-09-27,22.85,23.15,22.379999,22.379999,1197500,22.379999
