Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,71.660004,71.949997,71.059998,71.760002,1050200,71.760002
2016-10-25,71.099998,71.690002,70.970001,71.620003,1145400,71.620003
2016-10-24,71.220001,71.470001,70.68,71.260002,1191900,71.260002
2016-10-21,71.379997,71.650002,70.489998,70.900002,1625100,70.900002
2016-10-20,72.029999,72.410004,71.639999,71.75,1508700,71.75
2016-10-19,72.07,72.330002,71.50,72.019997,2727800,72.019997
2016-10-18,71.610001,72.129997,70.980003,72.07,1885200,72.07
2016-10-17,71.089996,71.400002,70.940002,71.220001,813900,71.220001
2016-10-14,70.690002,71.419998,70.290001,70.849998,1790100,70.849998
2016-10-13,70.139999,71.480003,69.989998,71.010002,1531200,71.010002
2016-10-12,69.550003,70.220001,69.550003,70.059998,1130600,70.059998
2016-10-11,70.18,70.239998,69.230003,69.410004,1420100,69.410004
2016-10-10,70.080002,70.370003,69.650002,70.260002,1114500,70.260002
2016-10-07,70.230003,70.919998,69.809998,69.889999,1533000,69.889999
2016-10-06,69.519997,70.120003,69.209999,69.82,1606300,69.82
2016-10-05,70.010002,70.50,69.309998,69.760002,2705300,69.760002
2016-10-04,71.309998,71.309998,69.470001,69.889999,2262500,69.889999
2016-10-03,72.059998,72.139999,70.93,71.389999,1707700,71.389999
2016-09-30,73.029999,73.529999,71.910004,72.25,1734400,72.25
2016-09-29,73.449997,73.480003,72.25,72.68,1311500,72.68
2016-09-28,73.949997,74.18,72.980003,73.699997,1289600,73.699997
2016-09-27,75.889999,76.300003,74.129997,74.239998,1769800,73.76
