Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,11.85,11.97,11.60,11.69,161900,11.69
2016-10-25,12.03,12.47,11.84,11.87,172600,11.87
2016-10-24,12.49,12.49,11.95,12.05,202700,12.05
2016-10-21,12.46,12.73,12.18,12.35,184400,12.35
2016-10-20,12.13,12.68,12.07,12.48,178400,12.48
2016-10-19,12.38,12.38,12.04,12.16,152300,12.16
2016-10-18,12.48,12.57,12.25,12.38,169800,12.38
2016-10-17,12.07,12.68,11.98,12.24,428200,12.24
2016-10-14,13.17,13.25,11.78,12.05,586500,12.05
2016-10-13,13.09,13.98,12.60,13.01,1352400,13.01
2016-10-12,12.85,13.10,12.25,12.32,298100,12.32
2016-10-11,13.32,13.32,12.85,12.90,416900,12.90
2016-10-10,13.62,13.86,13.24,13.45,578200,13.45
2016-10-07,13.55,13.66,13.17,13.50,287200,13.50
2016-10-06,14.16,14.16,13.39,13.53,238900,13.53
2016-10-05,13.80,14.33,13.69,14.13,343800,14.13
2016-10-04,13.82,13.97,13.50,13.64,289300,13.64
2016-10-03,13.70,13.92,13.45,13.82,233800,13.82
2016-09-30,13.62,13.94,13.40,13.85,294700,13.85
2016-09-29,13.97,14.03,13.31,13.51,435500,13.51
2016-09-28,13.82,14.22,13.35,13.92,581600,13.92
2016-09-27,13.62,14.09,13.52,13.74,451000,13.74
