Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,18.690001,18.889999,16.26,16.73,10456700,16.73
2016-10-25,20.02,20.120001,19.32,19.59,2766300,19.59
2016-10-24,19.809999,20.18,19.65,20.120001,1822500,20.120001
2016-10-21,19.799999,20.129999,19.65,19.82,1871500,19.82
2016-10-20,19.440001,20.40,19.440001,20.15,1829600,20.15
2016-10-19,19.75,19.799999,18.98,19.440001,1599700,19.440001
2016-10-18,20.00,20.32,19.68,19.75,1984800,19.75
2016-10-17,18.719999,19.790001,18.58,19.73,3105900,19.73
2016-10-14,18.629999,18.99,18.139999,18.33,2226600,18.33
2016-10-13,18.09,18.700001,18.07,18.540001,1121800,18.540001
2016-10-12,19.200001,19.219999,18.459999,18.48,1646100,18.48
2016-10-11,19.610001,19.84,19.08,19.24,1443500,19.24
2016-10-10,19.42,19.90,19.32,19.83,1218200,19.83
2016-10-07,19.25,19.59,18.93,19.280001,1261100,19.280001
2016-10-06,18.67,19.559999,18.33,19.219999,2031500,19.219999
2016-10-05,18.93,19.139999,18.76,18.83,1296800,18.83
2016-10-04,19.17,19.780001,18.65,18.809999,2419800,18.809999
2016-10-03,18.32,19.530001,17.82,18.85,5551200,18.85
2016-09-30,17.790001,18.700001,17.690001,18.57,2808500,18.57
2016-09-29,18.75,19.01,17.60,17.68,4160400,17.68
2016-09-28,19.32,19.559999,18.690001,18.90,2259900,18.90
2016-09-27,19.459999,19.90,19.16,19.34,2215900,19.34
