Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,11.19,11.63,11.06,11.18,3002500,11.18
2016-10-25,11.24,11.50,11.07,11.30,3214300,11.30
2016-10-24,11.56,11.65,11.27,11.29,4162900,11.29
2016-10-21,11.60,11.76,11.45,11.56,3688500,11.56
2016-10-20,11.51,11.74,11.37,11.74,3533200,11.74
2016-10-19,11.70,11.78,11.47,11.52,2773300,11.52
2016-10-18,11.74,11.95,11.57,11.67,3245700,11.67
2016-10-17,11.28,11.81,11.21,11.51,6549200,11.51
2016-10-14,11.97,12.08,11.31,11.32,6414600,11.32
2016-10-13,11.45,12.09,11.39,11.91,5560700,11.91
2016-10-12,12.54,12.77,11.84,11.93,7425600,11.93
2016-10-11,12.94,12.94,12.13,12.69,8361500,12.69
2016-10-10,13.02,13.64,11.28,12.61,18692200,12.61
2016-10-07,13.33,13.34,12.33,12.95,8096900,12.95
2016-10-06,13.12,13.36,12.74,13.18,6257600,13.18
2016-10-05,12.37,13.17,12.21,13.12,6904300,13.12
2016-10-04,12.75,12.97,12.32,12.44,5270000,12.44
2016-10-03,12.99,12.99,12.43,12.72,5509600,12.72
2016-09-30,12.44,12.99,12.13,12.79,9196200,12.79
2016-09-29,12.98,13.00,11.71,12.28,16993500,12.28
2016-09-28,15.57,15.58,12.07,13.35,27982500,13.35
2016-09-27,15.33,15.48,15.22,15.48,5705900,15.48
