Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,38.52,39.380001,38.43,39.02,1729100,39.02
2016-10-25,38.860001,38.98,38.470001,38.639999,1865300,38.639999
2016-10-24,38.619999,39.080002,38.369999,38.939999,2422700,38.939999
2016-10-21,38.32,38.50,37.959999,38.369999,1663600,38.369999
2016-10-20,38.919998,39.130001,38.75,38.810001,2256400,38.510002
2016-10-19,38.25,38.959999,38.02,38.919998,3268700,38.619149
2016-10-18,38.66,38.790001,37.880001,38.16,2156700,37.865025
2016-10-17,38.310001,38.549999,38.18,38.27,2703600,37.974175
2016-10-14,38.130001,38.639999,37.700001,38.34,3368000,38.043634
2016-10-13,38.82,38.849998,37.93,38.34,4829500,38.043634
2016-10-12,39.849998,39.849998,39.02,39.060001,4576200,38.75807
2016-10-11,41.689999,42.77,39.68,39.959999,7069400,39.65111
2016-10-10,42.470001,42.529999,42.00,42.119999,4890700,41.794414
2016-10-07,42.490002,42.740002,42.139999,42.299999,2887600,41.973022
2016-10-06,41.82,42.790001,41.799999,42.73,2076400,42.399699
2016-10-05,41.73,42.080002,41.669998,41.91,1502600,41.586038
2016-10-04,42.27,42.360001,41.290001,41.450001,1550900,41.129594
2016-10-03,41.580002,42.290001,41.459999,42.16,3112600,41.834105
2016-09-30,41.00,42.00,40.919998,41.779999,3239600,41.457042
2016-09-29,40.709999,41.259998,40.400002,40.84,1690300,40.524309
2016-09-28,40.509998,40.91,40.349998,40.869999,1359900,40.554076
2016-09-27,40.040001,40.439999,40.02,40.389999,1671900,40.077787
