Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,12.00,12.37,11.82,11.90,3810900,11.90
2016-10-25,12.35,12.36,12.05,12.07,2883800,12.07
2016-10-24,12.55,12.69,12.24,12.33,4280600,12.33
2016-10-21,12.34,12.74,12.11,12.64,4394300,12.64
2016-10-20,12.36,12.40,12.24,12.28,2586600,12.28
2016-10-19,12.48,12.66,12.31,12.37,3815900,12.37
2016-10-18,12.58,12.58,12.35,12.53,2207800,12.53
2016-10-17,12.67,12.73,12.29,12.38,3658000,12.38
2016-10-14,12.98,13.22,12.75,12.75,2686600,12.75
2016-10-13,12.95,13.02,12.68,12.87,3915100,12.87
2016-10-12,12.94,13.30,12.83,13.11,4534800,13.11
2016-10-11,13.74,13.74,13.26,13.30,3907600,13.30
2016-10-10,13.74,13.93,13.72,13.76,2005100,13.76
2016-10-07,13.85,14.14,13.61,13.69,3482900,13.69
2016-10-06,14.75,14.75,13.68,13.83,8240900,13.83
2016-10-05,14.50,15.03,14.47,14.69,3804300,14.69
2016-10-04,14.68,14.757,14.45,14.49,2498600,14.49
2016-10-03,14.58,14.84,14.45,14.68,2505100,14.68
2016-09-30,14.59,14.79,14.38,14.73,2677700,14.73
2016-09-29,14.85,14.90,14.32,14.49,3586400,14.49
2016-09-28,14.87,15.03,14.65,14.86,2921600,14.86
2016-09-27,14.47,14.91,14.47,14.78,4117100,14.78
