Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,67.669998,69.400002,67.669998,68.849998,1718500,68.849998
2016-10-25,67.599998,68.050003,66.860001,68.00,2490700,68.00
2016-10-24,68.379997,69.080002,68.330002,68.860001,1143600,68.860001
2016-10-21,67.43,68.059998,66.760002,67.93,1261600,67.93
2016-10-20,68.139999,68.410004,67.650002,68.019997,854900,68.019997
2016-10-19,68.120003,68.330002,67.279999,68.120003,1200200,68.120003
2016-10-18,68.129997,68.440002,67.809998,67.889999,953800,67.889999
2016-10-17,68.389999,68.589996,67.809998,67.889999,919000,67.889999
2016-10-14,68.57,69.120003,68.519997,68.589996,1028400,68.589996
2016-10-13,68.940002,69.00,68.209999,68.489998,1380200,68.489998
2016-10-12,68.290001,69.559998,68.059998,69.230003,1260900,69.230003
2016-10-11,68.620003,68.75,68.07,68.529999,1406300,68.255
2016-10-10,69.389999,69.580002,68.690002,68.870003,1206000,68.59364
2016-10-07,68.540001,69.610001,68.360001,69.050003,2590400,68.772918
2016-10-06,67.57,68.040001,67.239998,67.949997,1248200,67.677326
2016-10-05,67.220001,68.330002,67.059998,67.989998,1460500,67.717166
2016-10-04,67.580002,67.769997,66.830002,67.00,1203200,66.731141
2016-10-03,67.480003,68.019997,67.410004,67.519997,1158000,67.249051
2016-09-30,67.239998,67.860001,66.980003,67.720001,1850000,67.448253
2016-09-29,67.580002,67.830002,66.809998,66.830002,1710300,66.561825
2016-09-28,67.82,68.800003,67.290001,67.849998,2323500,67.577728
2016-09-27,67.599998,68.279999,67.25,68.080002,2150800,67.806809
