Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,7.48,7.81,7.42,7.55,1099700,7.55
2016-10-25,7.52,7.64,7.42,7.52,1098700,7.52
2016-10-24,7.54,7.83,7.45,7.50,1576800,7.50
2016-10-21,7.50,7.70,7.44,7.47,805700,7.47
2016-10-20,7.13,7.57,7.09,7.57,1728200,7.57
2016-10-19,7.27,7.29,7.09,7.15,948400,7.15
2016-10-18,7.09,7.33,6.99,7.24,1481600,7.24
2016-10-17,6.90,7.03,6.68,6.94,1524100,6.94
2016-10-14,7.31,7.35,6.89,6.89,1594400,6.89
2016-10-13,7.28,7.34,7.04,7.22,1297800,7.22
2016-10-12,7.55,7.60,7.18,7.20,1754400,7.20
2016-10-11,7.71,7.78,7.47,7.55,2374800,7.55
2016-10-10,7.81,7.86,7.58,7.79,1794100,7.79
2016-10-07,7.56,7.74,7.50,7.71,1542900,7.71
2016-10-06,7.41,7.71,7.34,7.51,1737300,7.51
2016-10-05,7.32,7.71,7.22,7.51,1581700,7.51
2016-10-04,7.34,7.45,7.19,7.30,1723800,7.30
2016-10-03,7.31,7.37,7.03,7.33,1706700,7.33
2016-09-30,7.12,7.52,6.99,7.40,1788800,7.40
2016-09-29,7.60,7.69,7.07,7.07,3009300,7.07
2016-09-28,7.84,7.89,7.45,7.62,1488500,7.62
2016-09-27,7.50,7.80,7.42,7.80,1483200,7.80
