Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,15.85,16.110001,15.81,15.82,355700,15.82
2016-10-25,16.040001,16.09,15.86,15.99,527500,15.99
2016-10-24,16.030001,16.27,15.98,16.110001,427900,16.110001
2016-10-21,15.85,16.02,15.73,16.01,414700,16.01
2016-10-20,15.93,16.10,15.89,15.95,354700,15.95
2016-10-19,15.80,16.030001,15.71,15.97,337600,15.97
2016-10-18,16.309999,16.309999,15.73,15.81,680800,15.81
2016-10-17,16.42,16.530001,16.120001,16.15,539600,16.15
2016-10-14,16.450001,16.629999,16.309999,16.50,485000,16.50
2016-10-13,16.50,16.639999,16.280001,16.42,509300,16.42
2016-10-12,16.780001,16.870001,16.49,16.620001,773800,16.620001
2016-10-11,16.66,16.879999,16.440001,16.780001,837900,16.780001
2016-10-10,16.549999,16.83,16.49,16.76,786800,16.76
2016-10-07,16.09,16.700001,16.040001,16.51,1021500,16.51
2016-10-06,15.93,16.02,15.61,16.00,871300,16.00
2016-10-05,15.70,16.200001,15.70,15.98,873000,15.98
2016-10-04,15.35,15.83,15.23,15.70,1109500,15.70
2016-10-03,15.45,15.49,15.23,15.40,1145000,15.40
2016-09-30,15.37,15.61,15.12,15.43,1228500,15.43
2016-09-29,15.42,15.64,15.20,15.28,995900,15.28
2016-09-28,15.85,15.89,15.34,15.42,999100,15.42
2016-09-27,15.89,16.299999,15.79,15.85,1409700,15.85
