Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,12.71,12.92,12.25,12.52,1112000,12.52
2016-10-25,13.42,13.48,12.82,12.87,571900,12.87
2016-10-24,13.98,14.11,13.38,13.46,574100,13.46
2016-10-21,14.00,14.27,13.91,14.02,454600,14.02
2016-10-20,14.34,14.53,14.17,14.21,381900,14.21
2016-10-19,14.10,14.68,14.10,14.51,830200,14.51
2016-10-18,14.04,14.08,13.69,13.97,520500,13.97
2016-10-17,13.84,14.17,13.72,13.84,389600,13.84
2016-10-14,14.11,14.19,13.63,13.81,648400,13.81
2016-10-13,14.00,14.12,13.79,14.02,359600,14.02
2016-10-12,14.04,14.38,13.83,14.11,430000,14.11
2016-10-11,14.10,14.12,13.72,14.10,582600,14.10
2016-10-10,14.56,14.83,14.01,14.16,1017200,14.16
2016-10-07,14.84,14.85,14.27,14.32,546500,14.32
2016-10-06,14.70,14.99,14.58,14.78,436600,14.78
2016-10-05,15.07,15.23,14.69,14.70,1136500,14.70
2016-10-04,14.91,15.03,14.54,14.75,672100,14.75
2016-10-03,14.66,15.05,14.58,14.84,842200,14.84
2016-09-30,14.30,14.65,14.17,14.54,968400,14.54
2016-09-29,13.94,14.72,13.90,14.18,1447600,14.18
2016-09-28,13.04,14.24,12.93,14.00,1380500,14.00
2016-09-27,12.77,13.01,12.49,12.88,1038500,12.88
