Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,74.050003,74.190002,73.910004,73.910004,13400,73.910004
2016-10-25,74.110001,74.25,74.059998,74.080002,60100,74.080002
2016-10-24,74.120003,74.18,73.82,73.889999,91800,73.889999
2016-10-21,74.239998,74.309998,74.099998,74.25,114200,74.25
2016-10-20,75.010002,75.010002,74.790001,74.82,34900,74.82
2016-10-19,75.550003,76.029999,75.309998,75.339996,75200,75.339996
2016-10-18,75.650002,75.650002,75.32,75.379997,30000,75.379997
2016-10-17,75.32,75.360001,75.18,75.330002,31500,75.330002
2016-10-14,75.129997,75.480003,75.07,75.239998,34100,75.239998
2016-10-13,74.660004,75.00,74.629997,74.919998,38700,74.919998
2016-10-12,74.589996,74.860001,74.470001,74.629997,27900,74.629997
2016-10-11,74.980003,74.980003,74.57,74.709999,67900,74.709999
2016-10-10,74.650002,75.260002,74.650002,75.099998,29900,75.099998
2016-10-07,74.779999,74.779999,74.300003,74.480003,67800,74.480003
2016-10-06,74.910004,74.93,74.690002,74.889999,61200,74.889999
2016-10-05,75.019997,75.150002,74.779999,75.089996,57800,75.089996
2016-10-04,75.260002,75.290001,74.910004,74.989998,60200,74.989998
2016-10-03,75.440002,75.559998,75.32,75.459999,25900,75.459999
2016-09-30,75.449997,75.550003,75.300003,75.419998,20700,75.419998
2016-09-29,75.699997,75.699997,75.089996,75.239998,47300,75.239998
2016-09-28,74.860001,75.589996,74.57,75.50,36400,75.50
2016-09-27,74.620003,74.940002,74.589996,74.940002,68700,74.940002
