Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,92.669998,92.739998,92.290001,92.360001,135300,92.360001
2016-10-25,92.07,92.709999,92.059998,92.629997,308100,92.629997
2016-10-24,92.849998,92.849998,92.540001,92.639999,260600,92.639999
2016-10-21,93.160004,93.230003,92.839996,92.959999,261700,92.959999
2016-10-20,93.169998,93.199997,92.75,92.879997,195500,92.879997
2016-10-19,93.389999,93.559998,93.279999,93.360001,104300,93.360001
2016-10-18,92.669998,93.019997,92.669998,92.940002,48300,92.940002
2016-10-17,92.760002,92.989998,92.739998,92.919998,41000,92.919998
2016-10-14,92.489998,93.00,92.489998,92.599998,124300,92.599998
2016-10-13,93.110001,93.410004,93.110001,93.199997,59000,93.199997
2016-10-12,92.910004,92.989998,92.410004,92.580002,138900,92.580002
2016-10-11,93.190002,93.559998,92.989998,93.339996,55200,93.339996
2016-10-10,93.25,93.260002,93.050003,93.120003,63000,93.120003
2016-10-07,93.720001,93.860001,93.32,93.790001,96200,93.790001
2016-10-06,92.919998,92.970001,92.690002,92.760002,198800,92.760002
2016-10-05,93.669998,93.699997,93.150002,93.239998,538200,93.239998
2016-10-04,94.18,94.220001,93.769997,93.860001,188300,93.860001
2016-10-03,95.269997,95.279999,95.00,95.019997,84900,95.019997
2016-09-30,95.269997,95.43,95.199997,95.209999,43800,95.209999
2016-09-29,94.989998,95.760002,94.959999,95.559998,84300,95.559998
2016-09-28,95.919998,96.080002,95.82,95.93,102100,95.93
2016-09-27,96.360001,96.360001,96.099998,96.209999,71900,96.209999
