Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,38.50,39.950001,37.07,39.220001,231000,39.220001
2016-10-25,42.029999,43.27,39.68,39.790001,218100,39.790001
2016-10-24,43.91,44.639999,40.709999,42.66,213400,42.66
2016-10-21,45.619999,46.029999,44.400002,44.52,169900,44.52
2016-10-20,45.110001,47.049999,44.09,46.630001,71700,46.630001
2016-10-19,45.23,48.009998,45.119999,46.490002,191600,46.490002
2016-10-18,45.869999,46.389999,43.450001,44.41,59500,44.41
2016-10-17,45.330002,46.209999,43.169998,44.02,116100,44.02
2016-10-14,48.049999,48.540001,45.400002,45.48,136400,45.48
2016-10-13,46.310001,48.529999,44.799999,47.549999,127000,47.549999
2016-10-12,46.93,48.00,45.400002,47.470001,88200,47.470001
2016-10-11,48.779999,49.41,46.439999,47.59,147300,47.59
2016-10-10,49.939999,51.290001,49.110001,49.630001,142800,49.630001
2016-10-07,49.310001,49.84,46.880001,47.810001,104200,47.810001
2016-10-06,50.509998,51.360001,47.900002,49.00,115700,49.00
2016-10-05,48.91,50.549999,48.259998,49.77,183500,49.77
2016-10-04,49.119999,49.439999,46.189999,46.98,125000,46.98
2016-10-03,48.66,49.450001,46.77,48.779999,118400,48.779999
2016-09-30,46.490002,48.950001,45.720001,48.240002,231600,48.240002
2016-09-29,44.50,47.82,43.889999,45.790001,358100,45.790001
2016-09-28,39.209999,44.709999,37.68,44.529999,370900,44.529999
2016-09-27,40.389999,40.93,37.50,38.459999,375500,38.459999
