Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,13.66,13.97,13.60,13.79,796700,13.79
2016-10-25,13.68,13.98,13.57,13.73,1513700,13.73
2016-10-24,14.07,14.09,13.84,13.93,458300,13.93
2016-10-21,13.76,13.91,13.68,13.87,607900,13.87
2016-10-20,13.84,13.99,13.77,13.95,748600,13.95
2016-10-19,13.84,13.94,13.56,13.91,873900,13.91
2016-10-18,14.01,14.01,13.71,13.72,764400,13.72
2016-10-17,14.14,14.20,13.86,13.87,724500,13.87
2016-10-14,14.35,14.40,14.18,14.19,616100,14.19
2016-10-13,14.48,14.49,14.05,14.25,653200,14.25
2016-10-12,14.60,14.66,14.43,14.60,677300,14.60
2016-10-11,14.63,14.72,14.37,14.47,680800,14.47
2016-10-10,14.38,14.75,14.38,14.60,618700,14.60
2016-10-07,14.51,14.67,14.33,14.38,847900,14.38
2016-10-06,14.69,14.69,14.26,14.37,1493900,14.37
2016-10-05,14.44,14.63,14.35,14.62,573400,14.62
2016-10-04,14.49,14.60,14.35,14.41,621000,14.41
2016-10-03,14.70,14.70,14.36,14.37,515400,14.37
2016-09-30,14.48,14.75,14.47,14.61,758800,14.61
2016-09-29,14.40,14.65,14.35,14.36,1226800,14.36
2016-09-28,14.23,14.29,14.05,14.18,844300,14.18
2016-09-27,14.29,14.47,14.15,14.25,900200,14.25
