Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,25.90,25.90,24.969999,25.459999,5691600,25.459999
2016-10-25,26.01,26.16,25.969999,26.049999,2388400,26.049999
2016-10-24,26.15,26.450001,26.02,26.08,2800400,26.08
2016-10-21,25.92,26.16,25.92,26.00,2576200,26.00
2016-10-20,26.370001,26.58,25.99,26.120001,2170100,26.120001
2016-10-19,26.16,26.360001,26.00,26.309999,3515700,26.309999
2016-10-18,26.360001,26.52,26.209999,26.23,2562600,26.23
2016-10-17,26.120001,26.48,26.110001,26.200001,2479900,26.200001
2016-10-14,26.389999,26.59,26.059999,26.17,4626600,26.17
2016-10-13,25.85,26.17,25.82,26.00,3680800,26.00
2016-10-12,25.540001,26.110001,25.530001,26.059999,4281900,26.059999
2016-10-11,26.110001,26.27,25.67,25.709999,4587600,25.509999
2016-10-10,26.00,26.209999,25.870001,26.139999,5833700,25.936655
2016-10-07,26.26,26.59,25.780001,25.969999,3312300,25.767977
2016-10-06,26.049999,26.33,25.77,26.07,6627400,25.8672
2016-10-05,26.610001,26.82,25.889999,26.10,4347700,25.896967
2016-10-04,27.00,27.049999,26.41,26.530001,4657400,26.323622
2016-10-03,27.43,27.43,26.950001,27.059999,4206700,26.849498
2016-09-30,27.82,27.959999,27.41,27.60,5893000,27.385298
2016-09-29,28.10,28.120001,27.290001,27.57,5328000,27.355531
2016-09-28,28.280001,28.43,27.90,28.17,4298400,27.950864
2016-09-27,28.76,28.809999,28.26,28.299999,2645400,28.079852
