Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,25.709999,26.129999,25.68,25.690001,682700,25.690001
2016-10-25,26.02,26.469999,25.709999,25.75,464600,25.75
2016-10-24,26.389999,26.57,26.290001,26.40,432200,26.40
2016-10-21,26.00,26.52,25.92,26.370001,538900,26.370001
2016-10-20,26.91,26.91,26.120001,26.200001,655300,26.200001
2016-10-19,27.18,27.40,27.040001,27.07,560700,27.07
2016-10-18,27.190001,27.360001,27.01,27.16,413900,27.16
2016-10-17,27.129999,27.25,26.91,26.93,287700,26.93
2016-10-14,27.469999,27.58,27.040001,27.110001,245800,27.110001
2016-10-13,27.299999,27.559999,27.02,27.280001,564800,27.280001
2016-10-12,27.32,27.620001,27.18,27.549999,573300,27.549999
2016-10-11,27.540001,27.60,27.16,27.379999,472800,27.379999
2016-10-10,27.65,27.73,27.469999,27.469999,174900,27.469999
2016-10-07,27.74,27.74,27.24,27.48,299100,27.48
2016-10-06,27.440001,27.719999,27.33,27.709999,368100,27.709999
2016-10-05,27.34,27.700001,27.33,27.549999,410800,27.549999
2016-10-04,27.799999,27.84,27.129999,27.24,474400,27.24
2016-10-03,27.85,27.98,27.620001,27.780001,369900,27.780001
2016-09-30,28.02,28.24,27.92,27.950001,418600,27.950001
2016-09-29,28.23,28.49,27.75,27.75,417300,27.75
2016-09-28,28.23,28.41,27.889999,28.32,542000,28.32
2016-09-27,27.82,28.219999,27.74,28.17,328800,28.17
