Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,9.06,9.17,8.99,9.17,498100,9.17
2016-10-25,9.06,9.27,9.06,9.11,369300,9.11
2016-10-24,9.05,9.22,8.98,9.05,261600,9.05
2016-10-21,8.93,9.13,8.88,9.02,507600,9.02
2016-10-20,8.99,9.17,8.81,9.04,390200,9.04
2016-10-19,8.98,9.15,8.90,9.05,267200,9.05
2016-10-18,8.93,8.96,8.81,8.85,216700,8.85
2016-10-17,8.75,8.84,8.69,8.75,307800,8.75
2016-10-14,8.87,8.95,8.67,8.77,379400,8.77
2016-10-13,8.75,8.82,8.61,8.80,511500,8.80
2016-10-12,8.83,9.16,8.80,8.86,249600,8.86
2016-10-11,9.07,9.16,8.80,8.85,442600,8.85
2016-10-10,9.00,9.15,9.00,9.13,484900,9.13
2016-10-07,8.95,8.97,8.70,8.87,284400,8.87
2016-10-06,8.67,8.97,8.64,8.89,361300,8.89
2016-10-05,8.77,8.92,8.61,8.73,955400,8.73
2016-10-04,8.86,9.06,8.59,8.68,439100,8.68
2016-10-03,9.10,9.10,8.79,8.87,460700,8.87
2016-09-30,9.11,9.23,8.93,9.03,604900,9.03
2016-09-29,9.19,9.34,9.02,9.02,762900,9.02
2016-09-28,8.89,9.22,8.89,9.21,857900,9.21
2016-09-27,8.76,8.89,8.62,8.88,891600,8.88
