Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,47.209999,48.50,46.849998,47.619999,8602100,47.619999
2016-10-25,48.220001,48.84,47.57,47.77,7760200,47.77
2016-10-24,48.540001,48.689999,47.759998,48.240002,7399100,48.240002
2016-10-21,48.360001,48.779999,48.09,48.43,6659000,48.43
2016-10-20,48.889999,49.509998,48.43,48.75,8613000,48.75
2016-10-19,47.700001,50.23,47.700001,49.07,19236500,49.07
2016-10-18,46.970001,47.279999,46.299999,47.07,9834100,47.07
2016-10-17,46.950001,47.349998,45.98,46.32,8169300,46.32
2016-10-14,47.459999,47.830002,46.84,46.970001,7353400,46.970001
2016-10-13,46.380001,47.959999,46.119999,47.02,7327900,47.02
2016-10-12,46.639999,47.18,46.25,46.959999,7565500,46.959999
2016-10-11,46.91,47.169998,46.290001,46.639999,9505000,46.639999
2016-10-10,46.790001,47.639999,46.759998,47.259998,8799400,47.259998
2016-10-07,46.380001,46.849998,45.98,46.259998,7014500,46.259998
2016-10-06,46.040001,46.400002,45.549999,46.369999,7624000,46.369999
2016-10-05,45.200001,46.07,44.939999,45.720001,7529500,45.720001
2016-10-04,44.91,45.00,44.23,44.59,5035900,44.59
2016-10-03,45.110001,45.189999,44.540001,44.900002,6221400,44.900002
2016-09-30,44.540001,45.080002,44.07,44.880001,9195300,44.880001
2016-09-29,42.889999,44.73,42.889999,44.18,15139000,44.18
2016-09-28,41.110001,42.959999,40.450001,42.790001,12551900,42.790001
2016-09-27,40.919998,41.09,40.119999,40.950001,11842900,40.950001
