Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,31.889999,32.330002,31.68,32.259998,1382500,32.259998
2016-10-25,32.450001,32.459999,31.91,32.150002,2534700,32.150002
2016-10-24,32.369999,32.52,31.91,32.330002,2123700,32.330002
2016-10-21,31.639999,31.959999,31.32,31.870001,1465400,31.870001
2016-10-20,32.060001,32.450001,31.780001,31.82,1854800,31.82
2016-10-19,32.18,32.459999,31.84,32.27,1922100,32.27
2016-10-18,32.419998,32.419998,31.91,32.189999,3046900,32.189999
2016-10-17,31.25,32.049999,31.219999,31.98,2697700,31.98
2016-10-14,31.68,32.02,31.33,31.40,890500,31.40
2016-10-13,31.299999,31.67,30.93,31.559999,1250600,31.559999
2016-10-12,32.049999,32.310001,31.540001,31.59,1594400,31.59
2016-10-11,32.720001,32.720001,31.870001,32.009998,2021600,32.009998
2016-10-10,32.91,33.349998,32.720001,32.75,2520300,32.75
2016-10-07,32.830002,32.939999,32.040001,32.720001,2573000,32.720001
2016-10-06,31.73,32.77,31.67,32.73,2331100,32.73
2016-10-05,31.76,32.099998,31.549999,31.67,1552000,31.67
2016-10-04,31.969999,32.25,31.51,31.620001,1592000,31.620001
2016-10-03,31.93,32.240002,31.870001,31.969999,1881700,31.969999
2016-09-30,31.67,32.139999,31.299999,31.98,1376100,31.98
2016-09-29,31.07,31.76,30.860001,31.43,1935700,31.43
2016-09-28,31.68,31.75,30.98,31.23,2275700,31.23
2016-09-27,31.16,31.459999,31.049999,31.35,2423800,31.35
